({'R': 5, 'A': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6323613493424814, 0.5884730021885435))
({'R': 4, 'A': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8803211351755041, 0.6321979906885568, 0.5882256970333949))
({'R': 5, 'A': 5, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804378267363704, 0.6321979906885568, 0.5882019773344537))
({'R': 1, 'A': 5, 'V': 1, 'N': 3, 'DEFAULT': 0}, (0.8801577669902912, 0.6321979906885568, 0.5880786585131482))
({'A': 3, 'R': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8801811053024645, 0.6319529527076697, 0.588041363392137))
({'R': 4, 'A': 5, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6321163113615944, 0.5880123265838129))
({'R': 1, 'A': 5, 'V': 4, 'N': 1, 'DEFAULT': 0}, (0.8801577669902912, 0.6323613493424814, 0.5879721181276745))
({'R': 1, 'A': 5, 'V': 1, 'N': 4, 'DEFAULT': 0}, (0.880134428678118, 0.6320346320346321, 0.5879607019792962))
({'A': 1, 'R': 3, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8804845033607169, 0.6318712733807074, 0.5879481948128736))
({'A': 3, 'R': 5, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8801811053024645, 0.631789594053745, 0.5879112450913225))
({'R': 4, 'A': 5, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8803444734876774, 0.6320346320346321, 0.5878907164811681))
({'R': 5, 'A': 5, 'V': 2, 'N': 1, 'DEFAULT': 0}, (0.8803444734876774, 0.6320346320346321, 0.5878778020161787))
({'R': 4, 'A': 4, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8803444734876774, 0.6318712733807074, 0.5878585415478658))
({'R': 1, 'A': 5, 'V': 3, 'N': 1, 'DEFAULT': 0}, (0.8802277819268111, 0.6321163113615944, 0.5878571241152268))
({'A': 3, 'R': 2, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8802044436146378, 0.6320346320346321, 0.5878541183516547))
({'R': 1, 'A': 5, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8802977968633309, 0.6319529527076697, 0.5878480921717698))
({'R': 3, 'A': 5, 'V': 5, 'N': 4, 'DEFAULT': 0}, (0.8800177371172517, 0.6318712733807074, 0.5878105401817059))
({'R': 5, 'A': 5, 'V': 2, 'N': 2, 'DEFAULT': 0}, (0.880134428678118, 0.6319529527076697, 0.5877999217669179))
({'R': 2, 'A': 5, 'V': 1, 'N': 3, 'DEFAULT': 0}, (0.8801811053024645, 0.6319529527076697, 0.5877971148700661))
({'R': 2, 'A': 5, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8802977968633309, 0.6319529527076697, 0.587794604925787))
