({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 4, 'R': 5}, (0.8803911501120238, 0.6324430286694438, 0.5885350360724274))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8801811053024645, 0.6324430286694438, 0.5880341229906842))
({'N': 1, 'V': 5, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8803444734876774, 0.6322796700155191, 0.5877775020276782))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.8802744585511576, 0.6321979906885568, 0.5882256970333949))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.8804611650485437, 0.6321979906885568, 0.5880761520904167))
({'N': 1, 'V': 5, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.8802977968633309, 0.6321979906885568, 0.5876814047583687))
({'N': 3, 'V': 1, 'DEFAULT': 0, 'R': 1, 'A': 5}, (0.8801811053024645, 0.6321979906885568, 0.5880743486076043))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.8804144884241971, 0.6321163113615944, 0.5880141239878008))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.8802744585511576, 0.6321163113615944, 0.5877768616294746))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'A': 4, 'R': 1}, (0.8802277819268111, 0.6321163113615944, 0.5876255512699929))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.8803211351755041, 0.6320346320346321, 0.5878225548977617))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 4}, (0.8802277819268111, 0.6320346320346321, 0.5881034037818594))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.8802277819268111, 0.6320346320346321, 0.5876104626082012))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8802277819268111, 0.6320346320346321, 0.5877653150268443))
({'N': 1, 'V': 5, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.8802744585511576, 0.6320346320346321, 0.5874333581190289))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8801811053024645, 0.6320346320346321, 0.5878548149450763))
({'N': 3, 'V': 1, 'DEFAULT': 0, 'R': 2, 'A': 5}, (0.8801811053024645, 0.6320346320346321, 0.5878609389203825))
({'N': 4, 'V': 1, 'DEFAULT': 0, 'R': 1, 'A': 5}, (0.8801811053024645, 0.6320346320346321, 0.5879843841743536))
({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 2, 'A': 5}, (0.8803211351755041, 0.6320346320346321, 0.5879101123531275))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 2}, (0.8801811053024645, 0.6319529527076697, 0.5877920946474244))
