({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6381394697535474, 0.5799232214326554, 0.47820418845067364))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6386529126213593, 0.5791064281630319, 0.4778583989959069))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6385128827483196, 0.5796781834517684, 0.47763204466888814))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6377660567587752, 0.5794331454708813, 0.4768145709415677))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6379060866318148, 0.5800865800865801, 0.4767727498732069))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 1}, (0.6381628080657207, 0.5784529935473331, 0.4765742039487451))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6384662061239731, 0.5786980315282202, 0.47532969415149834))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6369958924570575, 0.5801682594135424, 0.47515768757816196))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6382561613144138, 0.5800865800865801, 0.4751019387018343))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6365991411501121, 0.5791881074899943, 0.4750580315908688))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6387696041822255, 0.5790247488360696, 0.47475533868048664))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6375793502613891, 0.5781262762394838, 0.4746589840840885))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6374626587005228, 0.5786980315282202, 0.47433981670842723))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6382561613144138, 0.5769827656620109, 0.47406401036844104))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 2}, (0.6382561613144138, 0.5776362002777097, 0.4740508977711399))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 1}, (0.6381628080657207, 0.5765743690271992, 0.4739380179899985))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6376960418222554, 0.5791064281630319, 0.47382555661446174))
({'N': 2, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.638186146377894, 0.5751858204688394, 0.47382113223023375))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.636949215832711, 0.5766560483541615, 0.4738087733828196))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.636062359970127, 0.5783713142203708, 0.4736936634127498))
