({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6377893950709485, 0.5802499387405048, 0.4770707706843962))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6379994398805079, 0.5800049007596177, 0.4782620258707564))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6379761015683346, 0.5800049007596177, 0.47470363274798105))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6368792008961912, 0.5799232214326554, 0.47495533214706415))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6384662061239731, 0.5797598627787307, 0.4776898732409775))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6378827483196415, 0.5796781834517684, 0.47249459793202647))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6365758028379388, 0.579596504124806, 0.4752159944336732))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6376727035100822, 0.5795148247978437, 0.47688966855896026))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.637836071695295, 0.5795148247978437, 0.47223704458280835))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.63837285287528, 0.579351466143919, 0.4758233892325198))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6386062359970127, 0.5791881074899943, 0.47251962761247707))
({'N': 3, 'V': 4, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6379527632561613, 0.5791064281630319, 0.4702072828458544))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6386762509335325, 0.5790247488360696, 0.474782263188364))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6384895444361464, 0.5789430695091072, 0.4775622753965682))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6375793502613891, 0.5789430695091072, 0.4736761085549573))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.637485997012696, 0.5789430695091072, 0.4700244013448791))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6376493651979089, 0.5789430695091072, 0.47233788330148263))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6374159820761762, 0.5788613901821449, 0.47428897219436345))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 3, 'R': 3}, (0.6379294249439881, 0.5788613901821449, 0.4689897204799241))
({'N': 3, 'V': 3, 'DEFAULT': 0, 'A': 4, 'R': 5}, (0.6373693054518297, 0.5788613901821449, 0.46804033718542587))
