({'V': 2, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6422003360716952, 0.5864575675896431, 0.48346413300288466))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6418735997012696, 0.5860491709548313, 0.482123053542832))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.642083644510829, 0.585967491627869, 0.48145688468701037))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6410800970873787, 0.5853957363391326, 0.4834411925396523))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6409167289021658, 0.5853957363391326, 0.4825750165868503))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.6420603061986557, 0.5851506983582455, 0.4806925977473046))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6412434652725915, 0.5850690190312832, 0.48245945313522914))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 3, 'DEFAULT': 0}, (0.6421769977595221, 0.5849056603773585, 0.4791757529716055))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 4, 'DEFAULT': 0}, (0.6424803958177745, 0.5849056603773585, 0.47951017348190855))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6405433159073936, 0.5849056603773585, 0.4816498170378091))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6426437640029873, 0.5849056603773585, 0.47913661524606993))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6429938386855862, 0.5847423017234338, 0.48303511632950186))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6419436146377894, 0.5847423017234338, 0.48297585733747567))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 3, 'DEFAULT': 0}, (0.6410100821508589, 0.5846606223964714, 0.48145507135325377))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 2, 'DEFAULT': 0}, (0.6415702016430171, 0.5844972637425467, 0.47913455294749435))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6420603061986557, 0.5844155844155844, 0.47781132164688006))
({'V': 4, 'N': 2, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6419902912621359, 0.584333905088622, 0.4780134293324941))
({'V': 3, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6420136295743092, 0.5842522257616597, 0.47966397745542616))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6420369678864825, 0.5841705464346973, 0.4817135719066495))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6403566094100075, 0.5841705464346973, 0.4820800030179666))
