({'V': 2, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6421769977595221, 0.5863758882626807, 0.48340567932447964))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6411501120238984, 0.5853140570121702, 0.4833924667198404))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6420603061986557, 0.5847423017234338, 0.48298894449424307))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6428304705003735, 0.5845789430695091, 0.48293440479793004))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.640846713965646, 0.5853140570121702, 0.4825109786516144))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6412434652725915, 0.5849873397043208, 0.4824011438425806))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.640309932785661, 0.5844155844155844, 0.4822610799459787))
({'V': 2, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6412434652725915, 0.5829453565302621, 0.4819982155275588))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6419202763256161, 0.5858041329739443, 0.4819477485771467))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6418969380134428, 0.5841705464346973, 0.48169143817656224))
({'V': 1, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6404499626587006, 0.5827003185493752, 0.4814627204990225))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6421303211351755, 0.585967491627869, 0.48145688468701037))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 3, 'DEFAULT': 0}, (0.6409867438386856, 0.5846606223964714, 0.48145507135325377))
({'V': 4, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6400298730395818, 0.5837621497998856, 0.4813873716848686))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6404266243465273, 0.5849056603773585, 0.4813357854484108))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 4, 'DEFAULT': 0}, (0.6430405153099328, 0.5835987911459609, 0.4812912502557963))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.6420136295743092, 0.5840071877807727, 0.481280341726076))
({'V': 2, 'N': 1, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6415001867064973, 0.5826186392224129, 0.4812119359119329))
({'V': 1, 'N': 2, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.641290141896938, 0.581230090664053, 0.48116121548752605))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.6419902912621359, 0.5852323776852079, 0.4807664646500851))
