({'V': 2, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6364591112770724, 0.5786163522012578, 0.47504227275757277))
({'V': 3, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6377427184466019, 0.5797598627787307, 0.4742334936051984))
({'V': 2, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6367391710231516, 0.5764926897002368, 0.4736677905765278))
({'V': 3, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6351288274831964, 0.5777995589316344, 0.4734263568329673))
({'V': 2, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6375093353248693, 0.5775545209507473, 0.47314197825494664))
({'V': 3, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6360856982823002, 0.5785346728742955, 0.4729801839407699))
({'V': 2, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6374159820761762, 0.5784529935473331, 0.472130609836458))
({'V': 1, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6365524645257655, 0.5742056685452912, 0.4718757299565832))
({'V': 4, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6348487677371173, 0.5768194070080862, 0.4718366609670099))
({'V': 4, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6378127333831217, 0.5784529935473331, 0.4715891051982735))
({'V': 1, 'N': 1, 'A+R': 2, 'DEFAULT': 0}, (0.6384662061239731, 0.5782079555664461, 0.47158281397564367))
({'V': 2, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6384662061239731, 0.5782079555664461, 0.47158281397564367))
({'V': 3, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6377660567587752, 0.579351466143919, 0.4714164269267884))
({'V': 5, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6355255787901419, 0.5763293310463122, 0.4714103332788668))
({'V': 4, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6379994398805079, 0.5789430695091072, 0.4709776270156983))
({'V': 2, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6379761015683346, 0.577472841623785, 0.47096000579129266))
({'V': 1, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6370892457057505, 0.5758392550845381, 0.47086046871606296))
({'V': 1, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6368792008961912, 0.5746957445070653, 0.4708449480822508))
({'V': 4, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6359223300970874, 0.5765743690271992, 0.4705752443835802))
({'V': 3, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.638629574309186, 0.5785346728742955, 0.4704346553942637))
