({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8574962658700522, 0.627297231070816, 0.5884891927065569))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8575896191187453, 0.6272155517438537, 0.5884189400301469))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8576362957430919, 0.6271338724168913, 0.5883564935610414))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8569828230022405, 0.627052193089929, 0.5882080573103011))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8570528379387603, 0.627052193089929, 0.5882060290473897))
({'V': 1, 'A': 4, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8576129574309186, 0.6269705137629666, 0.58820215161519))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8575429424943988, 0.627052193089929, 0.5881933610625223))
({'V': 1, 'A': 4, 'N+#': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8576129574309186, 0.6269705137629666, 0.5881881676605415))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8571461911874533, 0.6271338724168913, 0.5881825650730073))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.8575196041822255, 0.6269705137629666, 0.5881814813882095))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8575196041822255, 0.6271338724168913, 0.5881766162303598))
({'V': 4, 'A': 3, 'N+#': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8570528379387603, 0.6269705137629666, 0.5881373141919432))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8568427931292009, 0.627052193089929, 0.5881348711731956))
({'V': 1, 'A': 3, 'N+#': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8574029126213593, 0.6268888344360043, 0.5881318731677917))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.856936146377894, 0.627052193089929, 0.5881275913229728))
({'V': 1, 'A': 3, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8573562359970127, 0.6269705137629666, 0.5881225270975726))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8570995145631068, 0.627052193089929, 0.5881195691855081))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 4, 'E': 4, 'DEFAULT': 0}, (0.8574962658700522, 0.6268888344360043, 0.5881052839152651))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8575196041822255, 0.6269705137629666, 0.5881032393367006))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8568894697535474, 0.6268888344360043, 0.5880888045085981))
