({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 2, 'A': 4}, (0.8778239357729649, 0.6252552478967573, 0.5886426067893501))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 3, 'A': 4}, (0.8778472740851382, 0.6252552478967573, 0.5886426067893501))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 1, 'A': 4}, (0.8777539208364451, 0.6250918892428327, 0.588432553641225))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 2, 'A': 3}, (0.8779406273338313, 0.6250918892428327, 0.5885310703400323))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 4, 'A': 4}, (0.8778005974607916, 0.6250918892428327, 0.5884129116535878))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 1, 'A': 3}, (0.8779639656460044, 0.6250102099158703, 0.5883771734562552))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 2, 'A': 4}, (0.8777305825242718, 0.6250102099158703, 0.5884397249014038))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 3, 'A': 4}, (0.877917289021658, 0.6250102099158703, 0.5884686071239984))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 4, 'A': 3}, (0.8778939507094847, 0.6250102099158703, 0.5884622557971576))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 4, 'A': 4}, (0.8779406273338313, 0.6250102099158703, 0.5884545325855909))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 2, 'A': 4}, (0.877917289021658, 0.624928530588908, 0.5883984039369262))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 3, 'A': 3}, (0.8778939507094847, 0.624928530588908, 0.5883843263085281))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 3, 'A': 4}, (0.8778239357729649, 0.624928530588908, 0.5883695050038639))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 4, 'A': 4}, (0.8778472740851382, 0.624928530588908, 0.5883632077323095))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 1, 'E': 1, 'A': 4}, (0.8778939507094847, 0.6248468512619456, 0.5882451836115384))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 1, 'A': 4}, (0.8777305825242718, 0.6248468512619456, 0.588208531136743))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 2, 'A': 3}, (0.8778706123973115, 0.6247651719349833, 0.5881672038993047))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 3, 'A': 3}, (0.8777772591486184, 0.6247651719349833, 0.5882657375338202))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 3, 'E': 3, 'A': 3}, (0.8778706123973115, 0.6247651719349833, 0.5881672038993047))
({'V': 1, 'DEFAULT': 0, 'N+#': 1, 'R': 2, 'E': 4, 'A': 3}, (0.8778005974607916, 0.6247651719349833, 0.5882579705121153))
