({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 4, 'A': 4}, (0.8778239357729649, 0.6252552478967573, 0.5887192061698195))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 2, 'A': 4}, (0.8778005974607916, 0.6252552478967573, 0.5886566723733235))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 3, 'A': 4}, (0.8777539208364451, 0.6252552478967573, 0.5886566723733235))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 4, 'A': 3}, (0.8779406273338313, 0.6250918892428327, 0.5885310703400323))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 1, 'A': 4}, (0.8777772591486184, 0.625173568569795, 0.5884956961353905))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 3, 'A': 4}, (0.877917289021658, 0.6250102099158703, 0.5884686071239984))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 2, 'A': 3}, (0.8779406273338313, 0.6250102099158703, 0.5884608624911057))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 3, 'A': 3}, (0.8778472740851382, 0.6250102099158703, 0.5884608624911057))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 4, 'A': 4}, (0.8778939507094847, 0.6250102099158703, 0.5884545325855909))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 2, 'A': 4}, (0.8778472740851382, 0.624928530588908, 0.5883984039369262))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 1, 'A': 4}, (0.8779406273338313, 0.6250102099158703, 0.5883778454115208))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 3, 'E': 2, 'A': 4}, (0.8777772591486184, 0.624928530588908, 0.5883695050038639))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 3, 'E': 3, 'A': 4}, (0.8778239357729649, 0.624928530588908, 0.5883695050038639))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 4, 'A': 3}, (0.8778472740851382, 0.6248468512619456, 0.5883281917346136))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 3, 'E': 4, 'A': 4}, (0.8778472740851382, 0.6248468512619456, 0.588307049541788))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 1, 'E': 1, 'A': 3}, (0.878010642270351, 0.624928530588908, 0.5883069548948779))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 3, 'E': 1, 'A': 4}, (0.8777772591486184, 0.6248468512619456, 0.588208531136743))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 2, 'A': 3}, (0.8777772591486184, 0.6246834926080209, 0.5881955209781214))
({'V': 1, 'N+#': 1, 'DEFAULT': 0, 'R': 2, 'E': 3, 'A': 3}, (0.8778005974607916, 0.6246834926080209, 0.5881955209781214))
({'V': 2, 'N+#': 1, 'DEFAULT': 0, 'R': 3, 'E': 3, 'A': 4}, (0.8779406273338313, 0.6246834926080209, 0.5881721227966401))
