({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8058719193427931, 0.6287674589561382, 0.5821756884139576))
({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8057085511575803, 0.6287674589561382, 0.5824313324382737))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8060819641523524, 0.6286857796291758, 0.5824790724455265))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8058719193427931, 0.6286041003022135, 0.5824771595768853))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8057552277819268, 0.6285224209752511, 0.5816642596747946))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8059652725914862, 0.6285224209752511, 0.5819559992270024))
({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8056852128454071, 0.6285224209752511, 0.5821131427125156))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5824275368990784))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5824538776572612))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5828281324216542))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5827493452614095))
({'V': 4, 'A': 2, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8057552277819268, 0.6284407416482888, 0.5820091476589643))
({'V': 4, 'A': 2, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8057785660941, 0.6284407416482888, 0.5821842120000836))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8059886109036595, 0.6284407416482888, 0.5826886980776623))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.8059419342793129, 0.6284407416482888, 0.5827322028655362))
({'V': 4, 'A': 1, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8059419342793129, 0.6283590623213264, 0.581794619309676))
({'V': 4, 'A': 3, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8057318894697535, 0.6283590623213264, 0.5823758322791474))
({'V': 4, 'A': 3, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8058952576549664, 0.6283590623213264, 0.5823878608838678))
({'V': 4, 'A': 3, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8059886109036595, 0.6283590623213264, 0.5824831720073754))
({'V': 4, 'A': 3, 'N': 1, 'R': 4, 'E': 1, 'DEFAULT': 0}, (0.8061753174010455, 0.6283590623213264, 0.5824080616253232))
