({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 1, 'A': 4, 'R': 4}, (0.8332010828976848, 0.6289308176100629, 0.5879260798250465))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 4, 'R': 4}, (0.8334578043315908, 0.6289308176100629, 0.5878126357584722))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 4}, (0.8330843913368186, 0.6288491382831005, 0.5878760608638233))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 4, 'R': 4}, (0.833387789395071, 0.6288491382831005, 0.5876401955393358))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 4}, (0.8336211725168036, 0.6287674589561382, 0.5875531592421425))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 4, 'R': 4}, (0.8335278192681105, 0.6287674589561382, 0.5876363109167566))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 2}, (0.8335978342046303, 0.6286857796291758, 0.5873271401199353))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 3}, (0.8335278192681105, 0.6286857796291758, 0.5871746279328319))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 1}, (0.8335278192681105, 0.6286857796291758, 0.5877199794394125))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 3}, (0.8330610530246453, 0.6286857796291758, 0.5876564881623142))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 1}, (0.8336211725168036, 0.6286041003022135, 0.587285429159479))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 4}, (0.8332010828976848, 0.6286041003022135, 0.5874149929012242))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 2}, (0.8335278192681105, 0.6286041003022135, 0.5871596385763468))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 4}, (0.8332244212098581, 0.6286041003022135, 0.5874064903818713))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 3, 'A': 3, 'R': 1}, (0.8335511575802838, 0.6286041003022135, 0.5874644218209476))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 3, 'A': 3, 'R': 4}, (0.8335978342046303, 0.6286041003022135, 0.587415309875499))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 4}, (0.833574495892457, 0.6286041003022135, 0.5874906242240557))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 3, 'A': 4, 'R': 4}, (0.8334111277072442, 0.6286041003022135, 0.5874456714794704))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 3}, (0.833574495892457, 0.6285224209752511, 0.5870796322919095))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 4}, (0.8335044809559373, 0.6285224209752511, 0.5872703690981838))
