({'V': 4, 'A': 1, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8946041822255415, 0.6236216613575104, 0.5895726211746845))
({'V': 5, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8945341672890217, 0.6236216613575104, 0.5895656797597467))
({'V': 5, 'A': 2, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8945808439133682, 0.6236216613575104, 0.5895656797597467))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8946041822255415, 0.6236216613575104, 0.5895587629051905))
({'V': 2, 'A': 3, 'N': 1, 'R': 5, 'DEFAULT': 0}, (0.8945808439133682, 0.6238666993383974, 0.5895048131808723))
({'V': 4, 'A': 1, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.894557505601195, 0.6235399820305481, 0.5895024828810479))
({'V': 5, 'A': 4, 'N': 3, 'R': 1, 'DEFAULT': 0}, (0.8945808439133682, 0.6237850200114351, 0.5895016268075937))
({'V': 3, 'A': 3, 'N': 2, 'R': 4, 'DEFAULT': 0}, (0.8943474607916355, 0.6237850200114351, 0.5895015983591236))
({'V': 5, 'A': 5, 'N': 3, 'R': 1, 'DEFAULT': 0}, (0.894557505601195, 0.6237850200114351, 0.5894947178060672))
({'V': 5, 'A': 5, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8944874906646751, 0.6237850200114351, 0.5894878176791454))
({'V': 5, 'A': 2, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8945108289768484, 0.6236216613575104, 0.5894851234597448))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8943941374159821, 0.6235399820305481, 0.5894811660117844))
({'V': 5, 'A': 1, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8945808439133682, 0.6236216613575104, 0.5894787072096931))
({'V': 5, 'A': 3, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8945341672890217, 0.6236216613575104, 0.5894781923817982))
({'V': 3, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8944874906646751, 0.6236216613575104, 0.5894707519060441))
({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8944408140403286, 0.6236216613575104, 0.5894707519060441))
({'V': 5, 'A': 3, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8945108289768484, 0.6236216613575104, 0.5894707519060441))
({'V': 5, 'A': 3, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8944174757281553, 0.6237033406844728, 0.5894671276777158))
({'V': 5, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8945808439133682, 0.6236216613575104, 0.5894638366605581))
({'V': 4, 'A': 3, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8944641523525019, 0.6237033406844728, 0.5894602159407403))
