({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 3}, (0.8332244212098581, 0.6289308176100629, 0.5879550385888613))
({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 4}, (0.8336211725168036, 0.6289308176100629, 0.5880356128166886))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 5}, (0.8336678491411501, 0.6289308176100629, 0.5879220178181767))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 5}, (0.833831217326363, 0.6288491382831005, 0.5877396654905127))
({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 5}, (0.8337612023898432, 0.6288491382831005, 0.5876493788646732))
({'A': 4, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 4}, (0.8335278192681105, 0.6288491382831005, 0.5879370683454216))
({'A': 5, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 4}, (0.833387789395071, 0.6288491382831005, 0.5879146495365947))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'N': 1, 'V': 5}, (0.833831217326363, 0.6287674589561382, 0.5875464558034648))
({'A': 3, 'DEFAULT': 0, 'R': 2, 'N': 1, 'V': 4}, (0.8335511575802838, 0.6287674589561382, 0.5874310487677005))
({'A': 3, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 3}, (0.8333411127707244, 0.6287674589561382, 0.5877031381825841))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 4}, (0.8336211725168036, 0.6287674589561382, 0.5877776483289784))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'N': 1, 'V': 4}, (0.8337378640776699, 0.6286857796291758, 0.5875090778787473))
({'A': 3, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 3}, (0.8334111277072442, 0.6286857796291758, 0.5875802606957113))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'N': 1, 'V': 5}, (0.8336678491411501, 0.6286857796291758, 0.5874594624508752))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 3}, (0.8332710978342046, 0.6286857796291758, 0.5877435767496458))
({'A': 4, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 5}, (0.8338545556385362, 0.6286857796291758, 0.5876352456043289))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 4}, (0.8332710978342046, 0.6286857796291758, 0.5877296013764914))
({'A': 3, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 4}, (0.833574495892457, 0.6286041003022135, 0.5872761673561397))
({'A': 4, 'DEFAULT': 0, 'R': 1, 'N': 1, 'V': 5}, (0.8338078790141897, 0.6286041003022135, 0.5873174167749848))
({'A': 5, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 4}, (0.833481142643764, 0.6286041003022135, 0.5877361563645577))
