({'A': 5, 'R': 3, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8773104929051531, 0.6247651719349833, 0.588437357355638))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'V': 2, 'N': 3}, (0.8773104929051531, 0.6246834926080209, 0.5886603147885018))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'V': 3, 'N': 4}, (0.8773104929051531, 0.6246834926080209, 0.5886510933043844))
({'A': 4, 'DEFAULT': 0, 'R': 1, 'V': 3, 'N': 5}, (0.8772871545929798, 0.6246834926080209, 0.5886446775888644))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'V': 1, 'N': 1}, (0.8773805078416729, 0.6246834926080209, 0.5884730991437751))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'V': 1, 'N': 3}, (0.8774271844660194, 0.6246834926080209, 0.5886595667871605))
({'A': 4, 'DEFAULT': 0, 'R': 1, 'V': 1, 'N': 1}, (0.8773571695294996, 0.6246018132810586, 0.5883201675639108))
({'A': 5, 'R': 1, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8773338312173263, 0.6246018132810586, 0.5885900592028218))
({'A': 2, 'DEFAULT': 0, 'R': 1, 'N': 3, 'V': 2}, (0.8773571695294996, 0.6245201339540962, 0.5884357648583464))
({'A': 3, 'DEFAULT': 0, 'R': 2, 'V': 4, 'N': 5}, (0.8772404779686334, 0.6245201339540962, 0.5884357648583464))
({'A': 3, 'DEFAULT': 0, 'R': 3, 'V': 1, 'N': 2}, (0.8773571695294996, 0.6245201339540962, 0.5884229608096881))
({'A': 4, 'DEFAULT': 0, 'R': 1, 'V': 3, 'N': 4}, (0.8773571695294996, 0.6245201339540962, 0.5885276125468938))
({'A': 4, 'DEFAULT': 0, 'R': 1, 'V': 4, 'N': 5}, (0.8773104929051531, 0.6245201339540962, 0.5885197945758042))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'V': 3, 'N': 4}, (0.8772871545929798, 0.6245201339540962, 0.5885197945758042))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'V': 3, 'N': 5}, (0.8772871545929798, 0.6245201339540962, 0.5885340714471035))
({'A': 4, 'DEFAULT': 0, 'R': 4, 'V': 2, 'N': 1}, (0.8772171396564601, 0.6245201339540962, 0.5882137088310531))
({'A': 5, 'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8773104929051531, 0.6245201339540962, 0.5884442431879626))
({'A': 5, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 5}, (0.8772871545929798, 0.6245201339540962, 0.5884371832070722))
({'A': 5, 'R': 2, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8774038461538461, 0.6245201339540962, 0.5881516109185052))
({'A': 5, 'R': 3, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8771938013442868, 0.6245201339540962, 0.5884300266547919))
