({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 3}, (0.8331544062733384, 0.6289308176100629, 0.5879550385888613))
({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 4}, (0.8336678491411501, 0.6288491382831005, 0.587943622183539))
({'A': 4, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 4}, (0.833481142643764, 0.6288491382831005, 0.5879370683454216))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 5}, (0.8336911874533234, 0.6289308176100629, 0.5879220178181767))
({'A': 5, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 4}, (0.8333177744585512, 0.6287674589561382, 0.5878441268822655))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 4}, (0.8333411127707244, 0.6287674589561382, 0.5878001010649443))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 4}, (0.8335978342046303, 0.6287674589561382, 0.5877701374239422))
({'A': 4, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 3}, (0.8329910380881255, 0.6286857796291758, 0.5877550645933832))
({'A': 3, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 3}, (0.8332944361463779, 0.6288491382831005, 0.5877511489739213))
({'A': 5, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 5}, (0.8336911874533234, 0.6286857796291758, 0.5877296013764914))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 5}, (0.8337845407020165, 0.6287674589561382, 0.5876852081578329))
({'A': 4, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 3}, (0.8333644510828977, 0.6286041003022135, 0.5876815938693845))
({'A': 5, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 4}, (0.8334578043315908, 0.6284407416482888, 0.587617618689385))
({'A': 5, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 3}, (0.833387789395071, 0.6286857796291758, 0.5875858293506103))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'N': 1, 'V': 4}, (0.8337612023898432, 0.6287674589561382, 0.5875795497064599))
({'A': 4, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 5}, (0.8337612023898432, 0.6286041003022135, 0.5875647341995994))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 1, 'V': 3}, (0.8333411127707244, 0.6286041003022135, 0.5875536776214579))
({'A': 4, 'DEFAULT': 0, 'R': 2, 'N': 1, 'V': 5}, (0.8335978342046303, 0.6287674589561382, 0.5875299259629384))
({'A': 4, 'DEFAULT': 0, 'R': 4, 'N': 1, 'V': 5}, (0.8337845407020165, 0.6286857796291758, 0.587524441327879))
({'A': 3, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 3}, (0.8334344660194175, 0.6285224209752511, 0.5874477899365553))
