({'R': 5, 'A': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6323613493424814, 0.5884730021885435))
({'R': 1, 'A': 5, 'V': 4, 'N': 1, 'DEFAULT': 0}, (0.8801577669902912, 0.6323613493424814, 0.5879721181276745))
({'R': 4, 'A': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8803211351755041, 0.6321979906885568, 0.5882256970333949))
({'R': 1, 'A': 5, 'V': 1, 'N': 3, 'DEFAULT': 0}, (0.8801577669902912, 0.6321979906885568, 0.5880786585131482))
({'R': 1, 'A': 5, 'V': 5, 'N': 1, 'DEFAULT': 0}, (0.8803444734876774, 0.6321979906885568, 0.5876857205753356))
({'R': 5, 'A': 5, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804378267363704, 0.6321979906885568, 0.5882019773344537))
({'R': 1, 'A': 5, 'V': 3, 'N': 1, 'DEFAULT': 0}, (0.8802277819268111, 0.6321163113615944, 0.5878571241152268))
({'R': 2, 'A': 5, 'V': 5, 'N': 1, 'DEFAULT': 0}, (0.8803211351755041, 0.6321163113615944, 0.5874971844911899))
({'R': 4, 'A': 5, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6321163113615944, 0.5880123265838129))
({'A': 3, 'R': 2, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8802044436146378, 0.6320346320346321, 0.5878541183516547))
({'A': 4, 'R': 1, 'V': 4, 'N': 1, 'DEFAULT': 0}, (0.8802044436146378, 0.6320346320346321, 0.587561736665348))
({'A': 4, 'R': 2, 'V': 2, 'N': 1, 'DEFAULT': 0}, (0.8802044436146378, 0.6320346320346321, 0.5876104626082012))
({'R': 1, 'A': 5, 'V': 1, 'N': 4, 'DEFAULT': 0}, (0.880134428678118, 0.6320346320346321, 0.5879607019792962))
({'R': 2, 'A': 5, 'V': 2, 'N': 1, 'DEFAULT': 0}, (0.8802511202389843, 0.6320346320346321, 0.5877173699573829))
({'R': 4, 'A': 5, 'V': 1, 'N': 5, 'DEFAULT': 0}, (0.8803444734876774, 0.6320346320346321, 0.5878907164811681))
({'R': 5, 'A': 5, 'V': 2, 'N': 1, 'DEFAULT': 0}, (0.8803444734876774, 0.6320346320346321, 0.5878778020161787))
({'R': 5, 'A': 5, 'V': 5, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6320346320346321, 0.5876721272356915))
({'A': 3, 'R': 1, 'V': 5, 'N': 1, 'DEFAULT': 0}, (0.8804144884241971, 0.6319529527076697, 0.5874954346557857))
({'A': 3, 'R': 4, 'V': 1, 'N': 1, 'DEFAULT': 0}, (0.8801811053024645, 0.6319529527076697, 0.588041363392137))
({'A': 4, 'R': 1, 'V': 5, 'N': 1, 'DEFAULT': 0}, (0.8803678117998507, 0.6319529527076697, 0.5874247866303595))
