({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4, 'R': 2}, (0.7731749439880508, 0.6291758555909499, 0.5746718698749075))
({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4, 'R': 1}, (0.7735716952949963, 0.6289308176100629, 0.5744903361734438))
({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4, 'R': 3}, (0.7729648991784914, 0.6286857796291758, 0.5743388484666615))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 5, 'R': 3}, (0.7735716952949963, 0.6284407416482888, 0.5742232649046325))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 4, 'R': 3}, (0.7731049290515309, 0.6286857796291758, 0.574092222289246))
({'DEFAULT': 0, 'N': 2, 'A': 4, 'V': 5, 'R': 4}, (0.7725214712471994, 0.6287674589561382, 0.573984568448723))
({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 5, 'R': 2}, (0.7735250186706497, 0.6283590623213264, 0.5739719551236655))
({'DEFAULT': 0, 'N': 1, 'A': 5, 'V': 5, 'R': 4}, (0.7734550037341299, 0.6281957036674017, 0.5739049017585355))
({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 5, 'R': 3}, (0.7733849887976102, 0.6281140243404394, 0.5738682678514572))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 4, 'R': 2}, (0.7732216206123973, 0.6284407416482888, 0.5738201229062811))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 3, 'R': 1}, (0.7731282673637042, 0.6281957036674017, 0.5737968833829504))
({'DEFAULT': 0, 'N': 1, 'A': 5, 'V': 5, 'R': 3}, (0.773548356982823, 0.6281957036674017, 0.5737921885243372))
({'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4, 'R': 4}, (0.7727315160567588, 0.6283590623213264, 0.5737713449466756))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 5, 'R': 2}, (0.7736650485436893, 0.6282773829943641, 0.5737697872208299))
({'DEFAULT': 0, 'N': 2, 'A': 4, 'V': 5, 'R': 5}, (0.7726148244958925, 0.6286041003022135, 0.5737641923672918))
({'DEFAULT': 0, 'N': 1, 'A': 2, 'V': 2, 'R': 2}, (0.7721947348767737, 0.6281140243404394, 0.5737112079231238))
({'DEFAULT': 0, 'N': 2, 'A': 4, 'V': 4, 'R': 4}, (0.7721947348767737, 0.6281140243404394, 0.5737112079231238))
({'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 5, 'R': 5}, (0.773198282300224, 0.6281140243404394, 0.5736469704626113))
({'DEFAULT': 0, 'N': 2, 'A': 3, 'V': 3, 'R': 2}, (0.7722880881254668, 0.6278689863595524, 0.5735979819312964))
({'DEFAULT': 0, 'N': 3, 'A': 5, 'V': 5, 'R': 5}, (0.7720547050037341, 0.6278689863595524, 0.5735935870472227))
