({'V': 1, 'N': 1, 'A': 4, 'R': 5, 'DEFAULT': 0}, (0.8803444734876774, 0.6323613493424814, 0.5884773010185894))
({'V': 1, 'N': 1, 'A': 4, 'R': 4, 'DEFAULT': 0}, (0.8802744585511576, 0.6321979906885568, 0.5882256970333949))
({'V': 1, 'N': 1, 'A': 5, 'R': 4, 'DEFAULT': 0}, (0.8804611650485437, 0.6321979906885568, 0.5880761520904167))
({'V': 1, 'N': 3, 'A': 5, 'R': 1, 'DEFAULT': 0}, (0.8802044436146378, 0.6321979906885568, 0.5880743486076043))
({'V': 1, 'N': 1, 'A': 3, 'R': 4, 'DEFAULT': 0}, (0.8801811053024645, 0.6319529527076697, 0.588041363392137))
({'V': 1, 'N': 1, 'A': 5, 'R': 5, 'DEFAULT': 0}, (0.8804144884241971, 0.6321163113615944, 0.5880184270348564))
({'V': 1, 'N': 1, 'A': 3, 'R': 5, 'DEFAULT': 0}, (0.8802044436146378, 0.6318712733807074, 0.5879750414551274))
({'V': 1, 'N': 4, 'A': 5, 'R': 1, 'DEFAULT': 0}, (0.8802511202389843, 0.6320346320346321, 0.5879607019792962))
({'V': 1, 'N': 5, 'A': 1, 'R': 3, 'DEFAULT': 0}, (0.8804378267363704, 0.6318712733807074, 0.5879500266100933))
({'V': 4, 'N': 1, 'A': 5, 'R': 1, 'DEFAULT': 0}, (0.8801811053024645, 0.6323613493424814, 0.5879423084523806))
({'V': 2, 'N': 1, 'A': 5, 'R': 5, 'DEFAULT': 0}, (0.8803211351755041, 0.6320346320346321, 0.5878778020161787))
({'V': 1, 'N': 1, 'A': 3, 'R': 3, 'DEFAULT': 0}, (0.880134428678118, 0.6318712733807074, 0.5878577794018971))
({'V': 1, 'N': 4, 'A': 5, 'R': 5, 'DEFAULT': 0}, (0.8804144884241971, 0.6319529527076697, 0.5878523972923824))
({'V': 1, 'N': 5, 'A': 5, 'R': 1, 'DEFAULT': 0}, (0.8802744585511576, 0.6319529527076697, 0.5878480921717698))
({'V': 1, 'N': 1, 'A': 5, 'R': 3, 'DEFAULT': 0}, (0.8802977968633309, 0.6320346320346321, 0.5878243708286627))
({'V': 1, 'N': 5, 'A': 5, 'R': 4, 'DEFAULT': 0}, (0.8803911501120238, 0.6319529527076697, 0.5878050143966856))
({'V': 2, 'N': 2, 'A': 5, 'R': 5, 'DEFAULT': 0}, (0.8800410754294249, 0.6319529527076697, 0.5877999217669179))
({'V': 1, 'N': 3, 'A': 5, 'R': 2, 'DEFAULT': 0}, (0.8801811053024645, 0.6319529527076697, 0.5877971148700661))
({'V': 1, 'N': 5, 'A': 1, 'R': 2, 'DEFAULT': 0}, (0.8805078416728902, 0.6317079147267827, 0.5877942448238288))
({'V': 1, 'N': 1, 'A': 3, 'R': 2, 'DEFAULT': 0}, (0.8802044436146378, 0.6319529527076697, 0.5877920946474244))
