({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 4, 'R': 5}, (0.8803911501120238, 0.6324430286694438, 0.5885350360724274))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.8802744585511576, 0.6321979906885568, 0.5882256970333949))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 4}, (0.8802277819268111, 0.6320346320346321, 0.5881034037818594))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.8804611650485437, 0.6321979906885568, 0.5880761520904167))
({'N': 3, 'V': 1, 'DEFAULT': 0, 'R': 1, 'A': 5}, (0.8801811053024645, 0.6321979906885568, 0.5880743486076043))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8801811053024645, 0.6324430286694438, 0.5880341229906842))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.8804144884241971, 0.6321163113615944, 0.5880141239878008))
({'N': 4, 'V': 1, 'DEFAULT': 0, 'R': 1, 'A': 5}, (0.8801811053024645, 0.6320346320346321, 0.5879843841743536))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 5}, (0.8802044436146378, 0.631789594053745, 0.5879112450913225))
({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 2, 'A': 5}, (0.8803211351755041, 0.6320346320346321, 0.5879101123531275))
({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 3, 'A': 1}, (0.8803911501120238, 0.631789594053745, 0.5878904997313793))
({'N': 3, 'V': 1, 'DEFAULT': 0, 'R': 2, 'A': 5}, (0.8801811053024645, 0.6320346320346321, 0.5878609389203825))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 3, 'R': 3}, (0.880134428678118, 0.6318712733807074, 0.5878577794018971))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.8801811053024645, 0.6320346320346321, 0.5878548149450763))
({'N': 4, 'V': 1, 'DEFAULT': 0, 'R': 5, 'A': 5}, (0.8803678117998507, 0.6319529527076697, 0.5878523972923824))
({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 1, 'A': 5}, (0.8802744585511576, 0.6319529527076697, 0.5878480921717698))
({'N': 1, 'V': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.8803211351755041, 0.6320346320346321, 0.5878225548977617))
({'N': 3, 'V': 3, 'DEFAULT': 0, 'R': 3, 'A': 4}, (0.8799943988050785, 0.6318712733807074, 0.5878080366545627))
({'N': 4, 'DEFAULT': 0, 'V': 4, 'R': 4, 'A': 5}, (0.8799477221807319, 0.6318712733807074, 0.5878080366545627))
({'N': 4, 'DEFAULT': 0, 'V': 5, 'R': 3, 'A': 5}, (0.8799477221807319, 0.6318712733807074, 0.5878062348782023))
