({'R': 2, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7732216206123973, 0.6290124969370252, 0.5745201486164707))
({'R': 1, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7736417102315161, 0.6288491382831005, 0.5742240901130451))
({'R': 4, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7724981329350261, 0.6287674589561382, 0.573984568448723))
({'R': 3, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7729882374906647, 0.6286857796291758, 0.5743388484666615))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7736883868558626, 0.6285224209752511, 0.5740848304358553))
({'R': 3, 'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7731282673637042, 0.6285224209752511, 0.5739581574709145))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7725914861837192, 0.6285224209752511, 0.5734901042028655))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7735950336071695, 0.6284407416482888, 0.5741459259288245))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7735250186706497, 0.6284407416482888, 0.5742115403003191))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 2}, (0.7726848394324123, 0.6284407416482888, 0.5734172734379827))
({'R': 2, 'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.773198282300224, 0.6283590623213264, 0.5737496140990453))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 2}, (0.7731282673637042, 0.6283590623213264, 0.5732123382015155))
({'R': 4, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.772661501120239, 0.6283590623213264, 0.5737713449466756))
({'R': 5, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7725214712471994, 0.6283590623213264, 0.5735607397244405))
({'R': 1, 'V': 3, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7731282673637042, 0.6282773829943641, 0.5738580911932321))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.773011575802838, 0.6282773829943641, 0.5730699615233249))
({'R': 3, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 2}, (0.7721013816280806, 0.6281957036674017, 0.573396125193662))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7734316654219567, 0.6281957036674017, 0.5739294745699375))
({'R': 4, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 1}, (0.7734316654219567, 0.6281957036674017, 0.5739049017585355))
({'R': 1, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.773011575802838, 0.6281140243404394, 0.5728091421084222))
