({'R': 2, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7732216206123973, 0.6290124969370252, 0.5745201486164707))
({'R': 3, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7729882374906647, 0.6286857796291758, 0.5743388484666615))
({'R': 1, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7736417102315161, 0.6288491382831005, 0.5742240901130451))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7735250186706497, 0.6284407416482888, 0.5742115403003191))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7735950336071695, 0.6284407416482888, 0.5741459259288245))
({'R': 2, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7736883868558626, 0.6285224209752511, 0.5740848304358553))
({'R': 4, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7724981329350261, 0.6287674589561382, 0.573984568448723))
({'R': 3, 'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7731282673637042, 0.6285224209752511, 0.5739581574709145))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7734316654219567, 0.6281957036674017, 0.5739294745699375))
({'R': 4, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 1}, (0.7734316654219567, 0.6281957036674017, 0.5739049017585355))
({'R': 1, 'V': 3, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7731282673637042, 0.6282773829943641, 0.5738580911932321))
({'R': 5, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 3}, (0.7719613517550411, 0.628032345013477, 0.5738323424219863))
({'R': 4, 'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.772661501120239, 0.6283590623213264, 0.5737713449466756))
({'R': 2, 'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.773198282300224, 0.6283590623213264, 0.5737496140990453))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 1}, (0.7735016803584764, 0.6281140243404394, 0.5737298488420581))
({'R': 2, 'V': 3, 'DEFAULT': 0, 'A': 3, 'N': 2}, (0.7722647498132935, 0.6278689863595524, 0.573710842661569))
({'R': 5, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 1}, (0.7734083271097835, 0.6278689863595524, 0.5736991205330869))
({'R': 5, 'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7731049290515309, 0.6281140243404394, 0.5736469704626113))
({'R': 4, 'V': 4, 'DEFAULT': 0, 'A': 5, 'N': 2}, (0.772404779686333, 0.6279506656865147, 0.5735887393988371))
({'R': 3, 'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 3}, (0.7721013816280806, 0.6279506656865147, 0.5735770856649052))
