({'V': 4, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566560866318148, 0.6271338724168913, 0.5883798331628309))
({'V': 1, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8576829723674384, 0.6268888344360043, 0.5883437574946486))
({'V': 5, 'A': 4, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8567494398805079, 0.6268888344360043, 0.5883232429552021))
({'V': 1, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8571461911874533, 0.626807155109042, 0.5882721697949006))
({'V': 2, 'A': 5, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8569128080657207, 0.6267254757820796, 0.5882483502309497))
({'V': 5, 'A': 4, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8567961165048543, 0.626807155109042, 0.588218522694255))
({'V': 1, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8577529873039582, 0.6266437964551173, 0.5881921095999262))
({'V': 1, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.857566280806572, 0.6266437964551173, 0.5881708128191484))
({'V': 5, 'A': 2, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8566794249439881, 0.6267254757820796, 0.5881630733331064))
({'V': 4, 'A': 2, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8566560866318148, 0.6267254757820796, 0.5881579278925915))
({'V': 5, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8572162061239731, 0.6268888344360043, 0.588139983262162))
({'V': 5, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8571461911874533, 0.6269705137629666, 0.5881313860804844))
({'V': 2, 'A': 5, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8570761762509336, 0.6267254757820796, 0.5881252020774568))
({'V': 5, 'A': 3, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8567027632561613, 0.626807155109042, 0.5881210806021077))
({'V': 5, 'A': 4, 'N': 3, 'R': 4, 'DEFAULT': 0}, (0.8566560866318148, 0.6266437964551173, 0.5881130498869768))
({'V': 2, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8575196041822255, 0.627052193089929, 0.5881126578275523))
({'V': 2, 'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8566794249439881, 0.6268888344360043, 0.5881038795263274))
({'V': 4, 'A': 2, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8566794249439881, 0.6268888344360043, 0.5881038795263274))
({'V': 4, 'A': 2, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8567261015683346, 0.6266437964551173, 0.5881015398026258))
({'V': 5, 'A': 3, 'N': 3, 'R': 4, 'DEFAULT': 0}, (0.8566794249439881, 0.6266437964551173, 0.5881007986109797))
