({'V': 4, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566094100074683, 0.6271338724168913, 0.5883798331628309))
({'V': 5, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.85712285287528, 0.627052193089929, 0.5881937369899158))
({'V': 2, 'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8565627333831217, 0.6269705137629666, 0.5881530212768243))
({'V': 4, 'A': 2, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8565627333831217, 0.6269705137629666, 0.5881530212768243))
({'V': 5, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8564927184466019, 0.6269705137629666, 0.5881523339962679))
({'V': 1, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8577996639283048, 0.6268888344360043, 0.5883377653305114))
({'V': 2, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.857566280806572, 0.6268888344360043, 0.5879801059991733))
({'V': 4, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.856936146377894, 0.6268888344360043, 0.5878575284286879))
({'V': 5, 'A': 3, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8565627333831217, 0.6268888344360043, 0.5876899382020664))
({'V': 5, 'A': 3, 'N': 3, 'R': 1, 'DEFAULT': 0}, (0.8567494398805079, 0.6268888344360043, 0.5880711188724997))
({'V': 5, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8570995145631068, 0.6268888344360043, 0.5880742543552798))
({'V': 5, 'A': 4, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8567027632561613, 0.6268888344360043, 0.5883232429552021))
({'V': 1, 'A': 4, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.857472927557879, 0.626807155109042, 0.5880881015418152))
({'V': 1, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.85712285287528, 0.626807155109042, 0.5882721697949006))
({'V': 2, 'A': 3, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8569828230022405, 0.626807155109042, 0.5878089772842015))
({'V': 2, 'A': 3, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8568661314413741, 0.626807155109042, 0.5878808104225867))
({'V': 2, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8574262509335325, 0.626807155109042, 0.5878749735974244))
({'V': 2, 'A': 5, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.8575196041822255, 0.626807155109042, 0.5878380201466726))
({'V': 3, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8568427931292009, 0.626807155109042, 0.5874840296235501))
({'V': 3, 'A': 3, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.856586071695295, 0.626807155109042, 0.5882456423654377))
