({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7731049290515309, 0.6289308176100629, 0.5743670406732783))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 1}, (0.7734083271097835, 0.6288491382831005, 0.5744316812769596))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7728948842419716, 0.6286041003022135, 0.57426832769408))
({'V': 4, 'A': 4, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7731282673637042, 0.6286041003022135, 0.5740310160677103))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 3}, (0.7723814413741599, 0.6286041003022135, 0.5735419215197638))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 2}, (0.7728482076176251, 0.6285224209752511, 0.5733881010616814))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 4}, (0.7723114264376401, 0.6285224209752511, 0.5735743695023051))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 5}, (0.7723814413741599, 0.6285224209752511, 0.5736655628652064))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 3}, (0.7725214712471994, 0.6285224209752511, 0.5734784328011316))
({'V': 4, 'A': 4, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7730815907393578, 0.6283590623213264, 0.5737589322636875))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 1}, (0.7729648991784914, 0.6283590623213264, 0.5729937328761908))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 2}, (0.773011575802838, 0.6283590623213264, 0.5732030088614254))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 4}, (0.7726381628080657, 0.6282773829943641, 0.5737008536452859))
({'A': 3, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7734083271097835, 0.6282773829943641, 0.5737920970494128))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7735716952949963, 0.6282773829943641, 0.5737674106602869))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7734550037341299, 0.6282773829943641, 0.5739800622818657))
({'A': 2, 'V': 3, 'DEFAULT': 0, 'R': 1, 'N': 1}, (0.7730582524271845, 0.6281957036674017, 0.5730966522031845))
({'A': 5, 'V': 4, 'DEFAULT': 0, 'N': 2, 'R': 1}, (0.772754854368932, 0.6281957036674017, 0.5735533409409664))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 3, 'R': 2}, (0.7722414115011202, 0.6281957036674017, 0.5732697181296192))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 4}, (0.7723814413741599, 0.6281957036674017, 0.5733669485319409))
