({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 1}, (0.7734083271097835, 0.6288491382831005, 0.5744316812769596))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7731049290515309, 0.6289308176100629, 0.5743670406732783))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7728948842419716, 0.6286041003022135, 0.57426832769408))
({'V': 4, 'A': 4, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7731282673637042, 0.6286041003022135, 0.5740310160677103))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7734550037341299, 0.6282773829943641, 0.5739800622818657))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 4}, (0.7733383121732637, 0.6281140243404394, 0.5738412707263366))
({'A': 3, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7734083271097835, 0.6282773829943641, 0.5737920970494128))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 3, 'R': 5}, (0.7718213218820015, 0.6279506656865147, 0.5737698788438376))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7735716952949963, 0.6282773829943641, 0.5737674106602869))
({'V': 4, 'A': 4, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7730815907393578, 0.6283590623213264, 0.5737589322636875))
({'A': 3, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7733383121732637, 0.6279506656865147, 0.5737272109502719))
({'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1, 'R': 4}, (0.7726381628080657, 0.6282773829943641, 0.5737008536452859))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 3}, (0.7733383121732637, 0.628032345013477, 0.5736861749015868))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 5}, (0.7723814413741599, 0.6285224209752511, 0.5736655628652064))
({'A': 5, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 2}, (0.7734083271097835, 0.6278689863595524, 0.57366471171057))
({'V': 3, 'A': 4, 'DEFAULT': 0, 'N': 1, 'R': 1}, (0.7730815907393578, 0.6281140243404394, 0.5736136012941785))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 5}, (0.7730349141150112, 0.628032345013477, 0.5735764567482167))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 2, 'R': 4}, (0.7723114264376401, 0.6285224209752511, 0.5735743695023051))
({'A': 3, 'V': 3, 'DEFAULT': 0, 'R': 2, 'N': 2}, (0.7719613517550411, 0.6279506656865147, 0.5735652166240047))
({'A': 4, 'V': 5, 'DEFAULT': 0, 'N': 1, 'R': 4}, (0.7731282673637042, 0.628032345013477, 0.5735617234151641))
