({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6382561613144138, 0.5799232214326554, 0.47820418845067364))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6384195294996265, 0.5797598627787307, 0.4776898732409775))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6386995892457058, 0.5791064281630319, 0.4776700295313729))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6379994398805079, 0.5800865800865801, 0.4767823505690922))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 1}, (0.6381161314413741, 0.5784529935473331, 0.47659179116954165))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6378127333831217, 0.579351466143919, 0.47658451348801867))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6367625093353249, 0.5792697868169566, 0.47512548924594494))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6370192307692307, 0.5800865800865801, 0.47510449920934117))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6385128827483196, 0.5786163522012578, 0.47509860238783047))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6381628080657207, 0.5799232214326554, 0.47496918190321474))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6387462658700522, 0.5789430695091072, 0.47472443645460666))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6376260268857357, 0.5781262762394838, 0.4746685346689287))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.637485997012696, 0.5786980315282202, 0.47433981670842723))
({'V': 1, 'N': 1, 'DEFAULT': 0, 'A': 3, 'R': 2}, (0.6383495145631068, 0.5776362002777097, 0.4740334297904045))
({'V': 1, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6382328230022405, 0.5769010863350486, 0.4740063663693383))
({'V': 1, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6379994398805079, 0.5752674997958017, 0.4738604481443344))
({'V': 1, 'N': 1, 'DEFAULT': 0, 'A': 3, 'R': 1}, (0.6381394697535474, 0.5766560483541615, 0.47384071343680584))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6378594100074683, 0.5789430695091072, 0.47370239983174556))
({'V': 1, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6371359223300971, 0.5741239892183289, 0.4735285877850924))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6360156833457804, 0.5782079555664461, 0.47352478015330296))
