({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 2}, (0.7732449589245706, 0.6290941762639876, 0.5746013570200174))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 1}, (0.7734783420463032, 0.6290124969370252, 0.5745607969644171))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 3}, (0.7729882374906647, 0.6288491382831005, 0.5744787917676751))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 3}, (0.7732449589245706, 0.6287674589561382, 0.5741627541491975))
({'V': 5, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 4}, (0.7725681478715459, 0.6287674589561382, 0.573984568448723))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 2}, (0.7735950336071695, 0.6285224209752511, 0.5740848304358553))
({'V': 5, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 3}, (0.7728015309932785, 0.6285224209752511, 0.5734901042028655))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 2}, (0.7736183719193428, 0.6284407416482888, 0.5741459259288245))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 3}, (0.7735950336071695, 0.6284407416482888, 0.5742232649046325))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 4}, (0.7726848394324123, 0.6283590623213264, 0.5737713449466756))
({'V': 5, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 2}, (0.7729182225541449, 0.6283590623213264, 0.5731124431774505))
({'V': 5, 'DEFAULT': 0, 'N': 2, 'A': 5, 'R': 3}, (0.772661501120239, 0.6283590623213264, 0.5733561146519542))
({'V': 3, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 1}, (0.7732682972367438, 0.6282773829943641, 0.5738674064768602))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 3, 'R': 3}, (0.7721247199402539, 0.6282773829943641, 0.5734678866386521))
({'V': 2, 'DEFAULT': 0, 'A': 2, 'N': 1, 'R': 2}, (0.7723581030619866, 0.6281957036674017, 0.573772356372258))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 2}, (0.7733149738610904, 0.6281957036674017, 0.573624850467705))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 4}, (0.7723581030619866, 0.6281957036674017, 0.573772356372258))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 5, 'R': 3}, (0.7725681478715459, 0.6281957036674017, 0.5736604535936969))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 3}, (0.7734316654219567, 0.6281957036674017, 0.5739294745699375))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 5, 'R': 3}, (0.7735250186706497, 0.6281957036674017, 0.5738085766014661))
