({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 2}, (0.7732449589245706, 0.6290941762639876, 0.5746013570200174))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 1}, (0.7734783420463032, 0.6290124969370252, 0.5745607969644171))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 3}, (0.7729882374906647, 0.6288491382831005, 0.5744787917676751))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 3}, (0.7735950336071695, 0.6284407416482888, 0.5742232649046325))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 3}, (0.7732449589245706, 0.6287674589561382, 0.5741627541491975))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 2}, (0.7736183719193428, 0.6284407416482888, 0.5741459259288245))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 2}, (0.7735950336071695, 0.6285224209752511, 0.5740848304358553))
({'V': 5, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 4}, (0.7725681478715459, 0.6287674589561382, 0.573984568448723))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 3}, (0.7734316654219567, 0.6281957036674017, 0.5739294745699375))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 5, 'R': 4}, (0.7734783420463032, 0.6281957036674017, 0.5738931557134364))
({'V': 3, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 1}, (0.7732682972367438, 0.6282773829943641, 0.5738674064768602))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 5, 'R': 3}, (0.7735250186706497, 0.6281957036674017, 0.5738085766014661))
({'V': 2, 'DEFAULT': 0, 'A': 2, 'N': 1, 'R': 2}, (0.7723581030619866, 0.6281957036674017, 0.573772356372258))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 4, 'R': 4}, (0.7723581030619866, 0.6281957036674017, 0.573772356372258))
({'V': 3, 'DEFAULT': 0, 'A': 3, 'N': 2, 'R': 2}, (0.7723347647498133, 0.6279506656865147, 0.5737719508224869))
({'V': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'R': 4}, (0.7726848394324123, 0.6283590623213264, 0.5737713449466756))
({'V': 5, 'DEFAULT': 0, 'N': 1, 'A': 4, 'R': 5}, (0.7731516056758775, 0.628032345013477, 0.5736773352508169))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 5, 'R': 4}, (0.7724981329350261, 0.6279506656865147, 0.5736652512386583))
({'V': 4, 'DEFAULT': 0, 'N': 2, 'A': 5, 'R': 3}, (0.7725681478715459, 0.6281957036674017, 0.5736604535936969))
({'V': 5, 'DEFAULT': 0, 'N': 3, 'A': 5, 'R': 5}, (0.7721947348767737, 0.6279506656865147, 0.5736465727940567))
