({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6369958924570575, 0.5801682594135424, 0.47515768757816196))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6379060866318148, 0.5800865800865801, 0.4767727498732069))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6382561613144138, 0.5800865800865801, 0.4751019387018343))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6381394697535474, 0.5799232214326554, 0.47820418845067364))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6385128827483196, 0.5796781834517684, 0.47763204466888814))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6380927931292009, 0.5795148247978437, 0.47236193293096296))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6377660567587752, 0.5794331454708813, 0.4768145709415677))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.637836071695295, 0.5792697868169566, 0.4718913291834574))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6365991411501121, 0.5791881074899943, 0.4750580315908688))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6386529126213593, 0.5791064281630319, 0.4778583989959069))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6389563106796117, 0.5791064281630319, 0.47228496467262754))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6376960418222554, 0.5791064281630319, 0.47382555661446174))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6387696041822255, 0.5790247488360696, 0.47475533868048664))
({'N': 3, 'V': 3, 'DEFAULT': 0, 'A': 4, 'R': 5}, (0.637836071695295, 0.5789430695091072, 0.4682750473622664))
({'N': 3, 'V': 4, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.638279499626587, 0.5789430695091072, 0.4700977142984584))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6378827483196415, 0.5788613901821449, 0.46978938863961783))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 3, 'R': 3}, (0.6373693054518297, 0.5786980315282202, 0.47091905069899526))
({'N': 1, 'V': 2, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6374626587005228, 0.5786980315282202, 0.47433981670842723))
({'N': 2, 'V': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6384662061239731, 0.5786980315282202, 0.47532969415149834))
({'N': 2, 'V': 3, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6377893950709485, 0.5786980315282202, 0.4700930216858284))
