({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 2}, (0.6376727035100822, 0.5803316180674671, 0.4771190938698607))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6377193801344286, 0.5801682594135424, 0.4783952715594592))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6365991411501121, 0.579841542105693, 0.47487126321053624))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6382561613144138, 0.579596504124806, 0.47740278520607604))
({'V': 3, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.63729929051531, 0.579596504124806, 0.47240290335144214))
({'V': 3, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6364124346527259, 0.5795148247978437, 0.47531198008846687))
({'V': 3, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6373226288274833, 0.5795148247978437, 0.47207609497653175))
({'V': 2, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6374159820761762, 0.5794331454708813, 0.47405333514381304))
({'V': 2, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 2}, (0.6379527632561613, 0.579351466143919, 0.47562302989238864))
({'V': 2, 'N': 2, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6382328230022405, 0.5792697868169566, 0.4723838930062148))
({'V': 3, 'N': 2, 'DEFAULT': 0, 'A': 4, 'R': 4}, (0.6368792008961912, 0.5792697868169566, 0.47025813376524933))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.6374159820761762, 0.5791881074899943, 0.4761010289151555))
({'N': 3, 'V': 4, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.637485997012696, 0.5791881074899943, 0.47008572990439235))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 1}, (0.6383495145631068, 0.5790247488360696, 0.4774282981415638))
({'V': 2, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6382094846900672, 0.5790247488360696, 0.4750774277877791))
({'V': 2, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6372292755787902, 0.5790247488360696, 0.47377711404312994))
({'V': 3, 'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 3}, (0.6372759522031367, 0.5790247488360696, 0.47239574819702096))
({'N': 3, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 4}, (0.637836071695295, 0.5788613901821449, 0.4696329855992352))
({'N': 3, 'V': 3, 'DEFAULT': 0, 'A': 5, 'R': 5}, (0.6376026885735624, 0.5788613901821449, 0.46941510058363783))
({'V': 2, 'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 3}, (0.6369958924570575, 0.5787797108551825, 0.47422160349192993))
