({'DEFAULT': 0, 'V': 3, 'E': 1, 'N': 1, 'R+A': 5}, (0.8332010828976848, 0.6284407416482888, 0.5873046061281414))
({'R+A': 4, 'V': 3, 'E': 5, 'N': 1, 'DEFAULT': 0}, (0.8332244212098581, 0.6283590623213264, 0.5872048254187902))
({'DEFAULT': 0, 'V': 4, 'E': 4, 'N': 1, 'R+A': 5}, (0.8333411127707244, 0.6286041003022135, 0.5871782317927466))
({'DEFAULT': 0, 'V': 3, 'E': 5, 'N': 1, 'R+A': 5}, (0.8332944361463779, 0.6282773829943641, 0.5870967994879408))
({'DEFAULT': 0, 'V': 4, 'E': 5, 'N': 1, 'R+A': 4}, (0.8332244212098581, 0.6283590623213264, 0.5870262256523135))
({'DEFAULT': 0, 'V': 3, 'E': 2, 'N': 1, 'R+A': 5}, (0.8333177744585512, 0.6282773829943641, 0.5870076049558716))
({'DEFAULT': 0, 'V': 4, 'E': 3, 'N': 1, 'R+A': 5}, (0.8333411127707244, 0.6284407416482888, 0.5869488427935946))
({'DEFAULT': 0, 'V': 3, 'E': 4, 'N': 1, 'R+A': 5}, (0.8333644510828977, 0.6281957036674017, 0.5869380672363618))
({'DEFAULT': 0, 'V': 4, 'E': 5, 'N': 1, 'R+A': 5}, (0.8333411127707244, 0.6283590623213264, 0.5868953617466136))
({'DEFAULT': 0, 'V': 3, 'E': 3, 'N': 1, 'R+A': 5}, (0.8333644510828977, 0.6281140243404394, 0.5868675201333753))
({'R+A': 3, 'V': 3, 'E': 5, 'N': 1, 'DEFAULT': 0}, (0.8331777445855115, 0.6279506656865147, 0.5868548413723117))
({'DEFAULT': 0, 'V': 4, 'E': 1, 'N': 1, 'R+A': 5}, (0.8333644510828977, 0.6282773829943641, 0.5868447425080058))
({'R+A': 3, 'V': 3, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.8333644510828977, 0.6282773829943641, 0.5868426142977903))
({'DEFAULT': 0, 'V': 4, 'E': 2, 'N': 1, 'R+A': 5}, (0.8334344660194175, 0.6282773829943641, 0.5868385614239794))
({'DEFAULT': 0, 'V': 4, 'E': 1, 'N': 2, 'R+A': 5}, (0.8328276699029126, 0.6281957036674017, 0.5868252016823222))
({'DEFAULT': 0, 'V': 5, 'E': 1, 'N': 1, 'R+A': 5}, (0.8334578043315908, 0.6284407416482888, 0.5867762688131642))
({'R+A': 3, 'V': 4, 'E': 5, 'N': 1, 'DEFAULT': 0}, (0.8332244212098581, 0.628032345013477, 0.5867411361058541))
({'R+A': 4, 'V': 3, 'E': 1, 'N': 1, 'DEFAULT': 0}, (0.8331777445855115, 0.6281140243404394, 0.5867398474541331))
({'DEFAULT': 0, 'V': 5, 'E': 1, 'N': 2, 'R+A': 5}, (0.8331777445855115, 0.628032345013477, 0.5867302012751621))
({'R+A': 4, 'V': 3, 'E': 4, 'N': 1, 'DEFAULT': 0}, (0.8332010828976848, 0.6281140243404394, 0.5867283318123924))
