({'V': 4, 'R+A': 2, 'N': 5, 'E': 2, 'DEFAULT': 0}, (0.8766336818521284, 0.6228865474148493, 0.5875500763882529))
({'V': 4, 'R+A': 3, 'N': 4, 'E': 4, 'DEFAULT': 0}, (0.8768437266616879, 0.6229682267418116, 0.5874332605114729))
({'V': 4, 'R+A': 2, 'N': 5, 'E': 3, 'DEFAULT': 0}, (0.876680358476475, 0.6227231887609246, 0.5874172718601579))
({'V': 4, 'R+A': 2, 'N': 5, 'E': 4, 'DEFAULT': 0}, (0.8766570201643017, 0.6227231887609246, 0.5874172718601579))
({'V': 3, 'R+A': 1, 'N': 4, 'E': 3, 'DEFAULT': 0}, (0.8768437266616879, 0.6228048680878869, 0.587397630312742))
({'V': 4, 'R+A': 3, 'N': 4, 'E': 3, 'DEFAULT': 0}, (0.8767503734129948, 0.6228865474148493, 0.5873708170468063))
({'V': 4, 'R+A': 3, 'N': 4, 'E': 5, 'DEFAULT': 0}, (0.8768203883495146, 0.6228865474148493, 0.5873708170468063))
({'V': 5, 'R+A': 4, 'N': 5, 'E': 4, 'DEFAULT': 0}, (0.8768203883495146, 0.6228865474148493, 0.5873629039256153))
({'V': 5, 'R+A': 4, 'N': 5, 'E': 5, 'DEFAULT': 0}, (0.8767970500373413, 0.6228865474148493, 0.5873629039256153))
({'V': 4, 'R+A': 2, 'N': 5, 'E': 5, 'DEFAULT': 0}, (0.876680358476475, 0.6226415094339622, 0.5873548294332512))
({'V': 3, 'R+A': 1, 'N': 4, 'E': 2, 'DEFAULT': 0}, (0.8768203883495146, 0.6227231887609246, 0.5873272709058639))
({'V': 2, 'R+A': 1, 'N': 3, 'E': 2, 'DEFAULT': 0}, (0.8768203883495146, 0.6228048680878869, 0.5873083732678577))
({'V': 4, 'R+A': 3, 'N': 5, 'E': 3, 'DEFAULT': 0}, (0.8767270351008215, 0.6228048680878869, 0.5873083732678577))
({'V': 3, 'R+A': 1, 'N': 3, 'E': 2, 'DEFAULT': 0}, (0.8768670649738611, 0.6225598301069999, 0.5872923866840408))
({'V': 5, 'R+A': 2, 'N': 4, 'E': 3, 'DEFAULT': 0}, (0.8768203883495146, 0.6225598301069999, 0.5872923866840408))
({'V': 5, 'R+A': 2, 'N': 5, 'E': 2, 'DEFAULT': 0}, (0.8767970500373413, 0.6225598301069999, 0.5872923866840408))
({'V': 3, 'R+A': 1, 'N': 3, 'E': 1, 'DEFAULT': 0}, (0.8768904032860344, 0.6225598301069999, 0.5872853145945487))
({'V': 3, 'R+A': 1, 'N': 4, 'E': 4, 'DEFAULT': 0}, (0.8768670649738611, 0.6226415094339622, 0.5872727395085504))
({'V': 4, 'R+A': 1, 'N': 5, 'E': 5, 'DEFAULT': 0}, (0.8768904032860344, 0.6226415094339622, 0.5872727395085504))
({'V': 3, 'R+A': 1, 'N': 4, 'E': 1, 'DEFAULT': 0}, (0.8768670649738611, 0.6226415094339622, 0.5872577467302612))
