({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 3, 'R+A': 5}, (0.833387789395071, 0.6286041003022135, 0.5872664806945842))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 1, 'R+A': 5}, (0.8331777445855115, 0.6283590623213264, 0.5872564809612283))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 2, 'R+A': 5}, (0.8332710978342046, 0.6283590623213264, 0.587172629387699))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 5, 'R+A': 4}, (0.8330610530246453, 0.6282773829943641, 0.5871343014090243))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 5, 'R+A': 5}, (0.8332710978342046, 0.6281957036674017, 0.5870262494278214))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 4, 'R+A': 5}, (0.8332944361463779, 0.6285224209752511, 0.5870193733451401))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 5, 'R+A': 5}, (0.8332710978342046, 0.6283590623213264, 0.5868953617466136))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 5, 'R+A': 3}, (0.8331544062733384, 0.6278689863595524, 0.586867247993404))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 5, 'R+A': 4}, (0.8332944361463779, 0.6282773829943641, 0.5868671368120891))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 2, 'R+A': 5}, (0.8333177744585512, 0.6282773829943641, 0.5868523097499996))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 4, 'R+A': 5}, (0.8332010828976848, 0.6281957036674017, 0.5868336881420698))
({'DEFAULT': 0, 'V': 5, 'N': 1, 'E': 2, 'R+A': 5}, (0.8333411127707244, 0.6285224209752511, 0.5868160709537821))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 1, 'R+A': 5}, (0.8332944361463779, 0.6281957036674017, 0.586782758024056))
({'DEFAULT': 0, 'V': 5, 'N': 1, 'E': 1, 'R+A': 5}, (0.8333177744585512, 0.6284407416482888, 0.5867762688131642))
({'DEFAULT': 0, 'V': 4, 'N': 2, 'E': 1, 'R+A': 5}, (0.8328043315907394, 0.6281140243404394, 0.5867547056015303))
({'DEFAULT': 0, 'V': 4, 'N': 2, 'E': 2, 'R+A': 5}, (0.8328510082150858, 0.6281957036674017, 0.5867366167311813))
({'DEFAULT': 0, 'V': 4, 'N': 1, 'E': 2, 'R+A': 4}, (0.8333644510828977, 0.6283590623213264, 0.5867271365216348))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 3, 'R+A': 5}, (0.8332244212098581, 0.628032345013477, 0.5867087177838283))
({'DEFAULT': 0, 'V': 2, 'N': 1, 'E': 4, 'R+A': 5}, (0.833037714712472, 0.6277056277056277, 0.5866921951896668))
({'DEFAULT': 0, 'V': 3, 'N': 1, 'E': 1, 'R+A': 4}, (0.8332010828976848, 0.628032345013477, 0.5866854256854256))
