({'V': 1, 'R+A': 3, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8565627333831217, 0.6263987584742302, 0.5877126553114188))
({'V': 1, 'R+A': 3, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.856586071695295, 0.6263170791472679, 0.587685508928416))
({'V': 1, 'R+A': 3, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.856586071695295, 0.6261537204933432, 0.5875448098658285))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8569128080657207, 0.6261537204933432, 0.5874958036179936))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8563060119492159, 0.6261537204933432, 0.5872805495182138))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 5, 'DEFAULT': 0}, (0.8563293502613891, 0.6261537204933432, 0.5873665936762523))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.8562826736370426, 0.6260720411663808, 0.587109146855333))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8563760268857357, 0.6260720411663808, 0.5873037681113973))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 3, 'DEFAULT': 0}, (0.8563526885735624, 0.6260720411663808, 0.5872238205042758))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 4, 'DEFAULT': 0}, (0.8563993651979089, 0.6260720411663808, 0.5872106994135237))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8561659820761762, 0.6259903618394185, 0.5875269095667267))
({'V': 1, 'R+A': 5, 'N': 2, 'E': 1, 'DEFAULT': 0}, (0.8568894697535474, 0.6259903618394185, 0.5874696190993367))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8563060119492159, 0.6259903618394185, 0.5870468776951735))
({'V': 3, 'R+A': 2, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8561893203883495, 0.6259903618394185, 0.5869462192501078))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 1, 'DEFAULT': 0}, (0.8563526885735624, 0.6259903618394185, 0.5869666745687617))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 2, 'DEFAULT': 0}, (0.8563760268857357, 0.6259903618394185, 0.5870678342954317))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.85604929051531, 0.6259086825124561, 0.5873572709765843))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8568427931292009, 0.6259086825124561, 0.5872155882111756))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8568894697535474, 0.6259086825124561, 0.5872155882111756))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 1, 'DEFAULT': 0}, (0.8563060119492159, 0.6259086825124561, 0.5867896882167327))
