({'V': 3, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6377427184466019, 0.5797598627787307, 0.4742334936051984))
({'V': 3, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6377660567587752, 0.579351466143919, 0.4714164269267884))
({'V': 4, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6379994398805079, 0.5789430695091072, 0.4709776270156983))
({'V': 2, 'N': 2, 'A+R': 3, 'DEFAULT': 0}, (0.6377193801344286, 0.5786980315282202, 0.47007820719005583))
({'V': 2, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6364591112770724, 0.5786163522012578, 0.47504227275757277))
({'V': 4, 'N': 4, 'A+R': 5, 'DEFAULT': 0}, (0.6381628080657207, 0.5786163522012578, 0.46872865259658053))
({'V': 3, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6360856982823002, 0.5785346728742955, 0.4729801839407699))
({'V': 3, 'N': 2, 'A+R': 3, 'DEFAULT': 0}, (0.6383028379387603, 0.5785346728742955, 0.46949330445610404))
({'V': 3, 'N': 3, 'A+R': 4, 'DEFAULT': 0}, (0.6381161314413741, 0.5785346728742955, 0.46871796996900095))
({'V': 3, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.638629574309186, 0.5785346728742955, 0.4704346553942637))
({'V': 2, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6374159820761762, 0.5784529935473331, 0.472130609836458))
({'V': 4, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6378127333831217, 0.5784529935473331, 0.4715891051982735))
({'V': 1, 'N': 1, 'A+R': 2, 'DEFAULT': 0}, (0.6384662061239731, 0.5782079555664461, 0.47158281397564367))
({'V': 2, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6384662061239731, 0.5782079555664461, 0.47158281397564367))
({'V': 3, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6351288274831964, 0.5777995589316344, 0.4734263568329673))
({'V': 5, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6381628080657207, 0.5777995589316344, 0.4693053746377142))
({'V': 4, 'N': 3, 'A+R': 4, 'DEFAULT': 0}, (0.6380461165048543, 0.5776362002777097, 0.46717076599056906))
({'V': 5, 'N': 3, 'A+R': 4, 'DEFAULT': 0}, (0.6371825989544436, 0.5776362002777097, 0.46651573207618763))
({'V': 2, 'N': 1, 'A+R': 2, 'DEFAULT': 0}, (0.6379527632561613, 0.5775545209507473, 0.4691407085519175))
({'V': 2, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6375093353248693, 0.5775545209507473, 0.47314197825494664))
