({'V': 2, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6365291262135923, 0.5786980315282202, 0.47511704629588447))
({'V': 3, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6377893950709485, 0.5794331454708813, 0.4737757171736634))
({'V': 3, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6351288274831964, 0.5778812382585967, 0.47349368994121926))
({'V': 2, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6367391710231516, 0.5763293310463122, 0.47337019705257366))
({'V': 2, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6375093353248693, 0.5777995589316344, 0.4733279939843759))
({'V': 3, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6360856982823002, 0.5784529935473331, 0.47291496820530293))
({'V': 2, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6372526138909634, 0.5786163522012578, 0.4722799397939621))
({'V': 1, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6363657580283794, 0.5743690271992159, 0.47203234227410995))
({'V': 1, 'N': 1, 'A+R': 2, 'DEFAULT': 0}, (0.6385362210604929, 0.5784529935473331, 0.47195019556890805))
({'V': 2, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6385362210604929, 0.5784529935473331, 0.47195019556890805))
({'V': 4, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6347554144884242, 0.5769010863350486, 0.471920740506254))
({'V': 4, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6377427184466019, 0.5786163522012578, 0.47173704730303223))
({'V': 5, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6355255787901419, 0.5761659723923875, 0.47127787120262005))
({'V': 3, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6377660567587752, 0.5791064281630319, 0.4712259114751946))
({'V': 1, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.636949215832711, 0.575104141141877, 0.47097540363226026))
({'V': 1, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6370892457057505, 0.5759209344115005, 0.4709275125017595))
({'V': 4, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.637836071695295, 0.5788613901821449, 0.47088619033665857))
({'V': 4, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6358289768483943, 0.5767377276811239, 0.47085969137293465))
({'V': 2, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6378127333831217, 0.5772278036428979, 0.4707790405982574))
({'V': 3, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.63837285287528, 0.5786163522012578, 0.47067829238066583))
