({'V': 2, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6409867438386856, 0.5851506983582455, 0.4832191351405634))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.642083644510829, 0.5861308502817937, 0.4830274836100519))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6418502613890963, 0.5846606223964714, 0.4829051713519125))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6425970873786407, 0.5847423017234338, 0.4829048370941664))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.640846713965646, 0.5853957363391326, 0.4825594580451867))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.641103435399552, 0.5849056603773585, 0.48231133908787355))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6402165795369679, 0.584333905088622, 0.4822027964852141))
({'V': 2, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6411734503360716, 0.5830270358572245, 0.4820563927404499))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6417802464525766, 0.5858858123009066, 0.48199073423617556))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6418735997012696, 0.5844155844155844, 0.481904216866521))
({'V': 1, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6402399178491411, 0.5827819978763376, 0.48168216619690907))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.64173356982823, 0.5860491709548313, 0.4815210370432092))
({'V': 4, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6400298730395818, 0.5839255084538103, 0.4815196503797538))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 4, 'DEFAULT': 0}, (0.642620425690814, 0.5837621497998856, 0.4814295184013213))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 3, 'DEFAULT': 0}, (0.6408233756534727, 0.5845789430695091, 0.4813714453288351))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6403799477221808, 0.5847423017234338, 0.4813702627300473))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.6418269230769231, 0.584088867107735, 0.4813194377861645))
({'V': 2, 'N': 1, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6413368185212845, 0.5825369598954505, 0.48115377827097544))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6397031366691561, 0.583843829126848, 0.4807562966793541))
({'V': 2, 'N': 2, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6423870425690814, 0.5837621497998856, 0.480697630412702))
