({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.857566280806572, 0.6272155517438537, 0.5884129323401774))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8569128080657207, 0.6272155517438537, 0.5885117459349756))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8576596340552651, 0.6271338724168913, 0.5882570706633218))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8576362957430919, 0.6271338724168913, 0.5883644854031954))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8576596340552651, 0.6271338724168913, 0.5883492122549304))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8568427931292009, 0.6271338724168913, 0.5882908433077354))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.856936146377894, 0.6271338724168913, 0.5883639390676302))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8570761762509336, 0.6271338724168913, 0.5881898403904341))
({'V': 1, 'A': 3, 'N+#': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8574029126213593, 0.627052193089929, 0.5880910599233179))
({'V': 1, 'A': 4, 'N+#': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8577529873039582, 0.627052193089929, 0.5883273459462875))
({'V': 1, 'A': 4, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8576829723674384, 0.627052193089929, 0.5882724209564091))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8577296489917849, 0.627052193089929, 0.5880931507367787))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.8575429424943988, 0.627052193089929, 0.5880850841440389))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8576362957430919, 0.627052193089929, 0.5881582266896094))
({'V': 3, 'A': 3, 'N+#': 2, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8568894697535474, 0.627052193089929, 0.5882080573103011))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8571461911874533, 0.627052193089929, 0.588033793441293))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8571461911874533, 0.627052193089929, 0.588033793441293))
({'V': 3, 'A': 4, 'N+#': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8571461911874533, 0.627052193089929, 0.5881203204004725))
({'V': 1, 'A': 4, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8577063106796117, 0.6269705137629666, 0.5882816657218741))
({'V': 2, 'A': 2, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8572162061239731, 0.6269705137629666, 0.5880017026930425))
