({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5828281324216542))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8058952576549664, 0.6285224209752511, 0.5827493452614095))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 1, 'DEFAULT': 0}, (0.8058952576549664, 0.62778730703259, 0.5827390981055461))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.8059419342793129, 0.6284407416482888, 0.5827322028655362))
({'V': 4, 'A': 4, 'N': 1, 'R': 4, 'E': 2, 'DEFAULT': 0}, (0.8059419342793129, 0.6283590623213264, 0.582690489503353))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8059886109036595, 0.6284407416482888, 0.5826886980776623))
({'V': 4, 'A': 4, 'N': 1, 'R': 4, 'E': 3, 'DEFAULT': 0}, (0.806035287528006, 0.6282773829943641, 0.5826631264249635))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.8061519790888723, 0.6283590623213264, 0.5826605069544227))
({'V': 4, 'A': 4, 'N': 1, 'R': 4, 'E': 4, 'DEFAULT': 0}, (0.806035287528006, 0.6281957036674017, 0.5826604633982381))
({'V': 4, 'A': 4, 'N': 1, 'R': 4, 'E': 1, 'DEFAULT': 0}, (0.8059652725914862, 0.6282773829943641, 0.5826431180777594))
({'V': 4, 'A': 4, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8060819641523524, 0.6282773829943641, 0.582619879187137))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8055218446601942, 0.6281140243404394, 0.582600470084638))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8060819641523524, 0.6283590623213264, 0.5825892215039544))
({'V': 4, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.806128640776699, 0.6281957036674017, 0.5825800376647835))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 1, 'DEFAULT': 0}, (0.8060819641523524, 0.6283590623213264, 0.5825657189121457))
({'V': 2, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8058719193427931, 0.62778730703259, 0.5825077847681034))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 2, 'DEFAULT': 0}, (0.8058485810306198, 0.6276239483786653, 0.5824879182900541))
({'V': 4, 'A': 3, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8059886109036595, 0.6283590623213264, 0.5824831720073754))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8060819641523524, 0.6286857796291758, 0.5824790724455265))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8058719193427931, 0.6286041003022135, 0.5824771595768853))
