({'A': 4, 'V': 4, 'DEFAULT': 0, 'E': 2, 'N': 1, 'R': 4}, (0.833481142643764, 0.6290124969370252, 0.5878746340251292))
({'A': 4, 'V': 3, 'DEFAULT': 0, 'E': 1, 'N': 1, 'R': 4}, (0.8331777445855115, 0.6289308176100629, 0.5879260798250465))
({'A': 4, 'V': 4, 'DEFAULT': 0, 'E': 4, 'N': 1, 'R': 4}, (0.8334344660194175, 0.6289308176100629, 0.5877987723973284))
({'A': 4, 'V': 4, 'DEFAULT': 0, 'E': 1, 'N': 1, 'R': 4}, (0.8334578043315908, 0.6288491382831005, 0.5877121497192538))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 2}, (0.8336211725168036, 0.6287674589561382, 0.587269790578924))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 4}, (0.8336211725168036, 0.6287674589561382, 0.5875531592421425))
({'A': 4, 'V': 4, 'DEFAULT': 0, 'E': 3, 'N': 1, 'R': 4}, (0.833387789395071, 0.6287674589561382, 0.5876662419101025))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 2}, (0.8337145257654967, 0.6286857796291758, 0.5873186414477795))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 3, 'A': 3, 'R': 1}, (0.8336211725168036, 0.6286857796291758, 0.5875264005096338))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 1}, (0.8336211725168036, 0.6286857796291758, 0.5877199794394125))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 3}, (0.8331310679611651, 0.6286857796291758, 0.5876564881623142))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 4}, (0.8330843913368186, 0.6286857796291758, 0.5876554876373945))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 1}, (0.8336211725168036, 0.6286041003022135, 0.587285429159479))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 3}, (0.833574495892457, 0.6286041003022135, 0.5871040870853185))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 2}, (0.8336211725168036, 0.6286041003022135, 0.587424898469737))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 3, 'R': 4}, (0.833574495892457, 0.6286041003022135, 0.5875121104525685))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 4, 'A': 2, 'R': 1}, (0.833481142643764, 0.6285224209752511, 0.587211979677684))
({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 4}, (0.8332244212098581, 0.6285224209752511, 0.5873445178009588))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 3, 'R': 4}, (0.833574495892457, 0.6285224209752511, 0.5872703690981838))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 3, 'R': 1}, (0.833574495892457, 0.6285224209752511, 0.587209535201346))
