({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8057318894697535, 0.6287674589561382, 0.5824313324382737))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8057552277819268, 0.6286857796291758, 0.5822084929132126))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8058719193427931, 0.6286857796291758, 0.5821916229283468))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8058252427184466, 0.6286857796291758, 0.5825687410694522))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8058485810306198, 0.6286857796291758, 0.582465958242485))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8058952576549664, 0.6286857796291758, 0.5829814802570628))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8058019044062733, 0.6286041003022135, 0.5825918894827048))
({'V': 4, 'A': 1, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8057785660941, 0.6285224209752511, 0.5816642596747946))
({'V': 4, 'A': 2, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8057552277819268, 0.6285224209752511, 0.5823487743317027))
({'V': 4, 'A': 4, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8059652725914862, 0.6285224209752511, 0.5827372137240222))
({'V': 4, 'A': 1, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8058719193427931, 0.6284407416482888, 0.5818383393638754))
({'V': 4, 'A': 1, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8059652725914862, 0.6284407416482888, 0.5819506030290362))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.8058952576549664, 0.6284407416482888, 0.5827322028655362))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8060819641523524, 0.6284407416482888, 0.5826508978690456))
({'V': 4, 'A': 4, 'N': 1, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.806128640776699, 0.6284407416482888, 0.5826341154609675))
({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8056385362210605, 0.6283590623213264, 0.5819809130053534))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8059185959671397, 0.6283590623213264, 0.5823042451080991))
({'V': 4, 'A': 3, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8058019044062733, 0.6283590623213264, 0.5823758322791474))
({'V': 4, 'A': 3, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8058252427184466, 0.6283590623213264, 0.5822851570996481))
({'V': 4, 'A': 3, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8058252427184466, 0.6283590623213264, 0.5824742175589633))
