({'V': 5, 'A': 2, 'DEFAULT': 0, 'R': 1, 'N': 1}, (0.894557505601195, 0.6236216613575104, 0.5895656797597467))
({'R': 2, 'V': 4, 'A': 1, 'DEFAULT': 0, 'N': 1}, (0.8945808439133682, 0.6236216613575104, 0.5895513073589763))
({'V': 3, 'R': 2, 'A': 2, 'DEFAULT': 0, 'N': 1}, (0.8943941374159821, 0.6237033406844728, 0.5895408723280723))
({'R': 1, 'V': 2, 'A': 2, 'DEFAULT': 0, 'N': 1}, (0.8944174757281553, 0.6237850200114351, 0.5895159712862841))
({'R': 2, 'V': 4, 'A': 4, 'DEFAULT': 0, 'N': 2}, (0.8944174757281553, 0.6237850200114351, 0.5895159712862841))
({'V': 5, 'A': 5, 'DEFAULT': 0, 'R': 2, 'N': 3}, (0.894557505601195, 0.6237850200114351, 0.5895090681027141))
({'V': 5, 'A': 5, 'DEFAULT': 0, 'R': 3, 'N': 3}, (0.8945108289768484, 0.6237850200114351, 0.5895090681027141))
({'V': 4, 'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 2}, (0.8944874906646751, 0.6237850200114351, 0.5895085057270318))
({'R': 3, 'V': 4, 'A': 1, 'DEFAULT': 0, 'N': 1}, (0.894557505601195, 0.6235399820305481, 0.5895024828810479))
({'R': 4, 'V': 3, 'A': 3, 'DEFAULT': 0, 'N': 2}, (0.8943707991038088, 0.6237850200114351, 0.5895015983591236))
({'V': 5, 'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 3}, (0.8944174757281553, 0.6237850200114351, 0.5895015983591236))
({'R': 1, 'V': 4, 'A': 1, 'DEFAULT': 0, 'N': 1}, (0.8946041822255415, 0.6235399820305481, 0.5894886351894628))
({'V': 5, 'A': 1, 'DEFAULT': 0, 'R': 2, 'N': 1}, (0.8946275205377147, 0.6235399820305481, 0.5894886351894628))
({'V': 5, 'A': 4, 'DEFAULT': 0, 'R': 1, 'N': 3}, (0.8946275205377147, 0.6237850200114351, 0.5894878176791454))
({'V': 5, 'A': 2, 'DEFAULT': 0, 'R': 2, 'N': 2}, (0.8945808439133682, 0.6236216613575104, 0.5894851234597448))
({'R': 1, 'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 1}, (0.8944641523525019, 0.6235399820305481, 0.5894811660117844))
({'V': 5, 'A': 3, 'DEFAULT': 0, 'R': 1, 'N': 2}, (0.8945108289768484, 0.6236216613575104, 0.5894781923817982))
({'V': 3, 'R': 1, 'A': 2, 'DEFAULT': 0, 'N': 1}, (0.8944874906646751, 0.6236216613575104, 0.5894707519060441))
({'R': 1, 'V': 4, 'A': 2, 'DEFAULT': 0, 'N': 1}, (0.8945341672890217, 0.6236216613575104, 0.5894707519060441))
({'R': 1, 'V': 4, 'A': 3, 'DEFAULT': 0, 'N': 2}, (0.894557505601195, 0.6237033406844728, 0.589467132660746))
