({'A': 3, 'V': 1, 'N': 1, 'DEFAULT': 0, 'R': 5}, (0.8944874906646751, 0.6237850200114351, 0.589420910632676))
({'A': 3, 'V': 1, 'N': 1, 'DEFAULT': 0, 'R': 4}, (0.8945341672890217, 0.6237033406844728, 0.5893083950978933))
({'A': 4, 'V': 1, 'N': 3, 'DEFAULT': 0, 'R': 2}, (0.8944874906646751, 0.6237033406844728, 0.5893965118461287))
({'A': 4, 'V': 1, 'N': 4, 'DEFAULT': 0, 'R': 4}, (0.8944641523525019, 0.6237033406844728, 0.5893890512661778))
({'A': 5, 'V': 1, 'N': 4, 'DEFAULT': 0, 'R': 1}, (0.8945808439133682, 0.6237033406844728, 0.5893965118461287))
({'A': 5, 'V': 1, 'N': 4, 'DEFAULT': 0, 'R': 3}, (0.8943941374159821, 0.6237033406844728, 0.5893965118461287))
({'A': 5, 'V': 1, 'N': 4, 'DEFAULT': 0, 'R': 4}, (0.8944641523525019, 0.6237033406844728, 0.5893965118461287))
({'A': 5, 'V': 1, 'N': 5, 'DEFAULT': 0, 'R': 5}, (0.8944408140403286, 0.6237033406844728, 0.5893965118461287))
({'A': 2, 'V': 2, 'N': 1, 'DEFAULT': 0, 'R': 1}, (0.894557505601195, 0.6237033406844728, 0.5894389577971456))
({'A': 2, 'V': 2, 'N': 1, 'DEFAULT': 0, 'R': 2}, (0.8943941374159821, 0.6237033406844728, 0.589365116379708))
({'R': 5, 'V': 2, 'A': 2, 'DEFAULT': 0, 'N': 2}, (0.8943474607916355, 0.6237033406844728, 0.5894033580543904))
({'R': 3, 'V': 2, 'A': 4, 'DEFAULT': 0, 'N': 3}, (0.8945108289768484, 0.6237033406844728, 0.5893890512661778))
({'R': 2, 'V': 2, 'A': 5, 'DEFAULT': 0, 'N': 4}, (0.8945108289768484, 0.6237033406844728, 0.5894033580543904))
({'R': 2, 'V': 3, 'A': 2, 'DEFAULT': 0, 'N': 2}, (0.8944408140403286, 0.6237033406844728, 0.5894176910392658))
({'R': 3, 'V': 3, 'A': 2, 'DEFAULT': 0, 'N': 2}, (0.8943707991038088, 0.6237033406844728, 0.5894389445194826))
({'R': 1, 'V': 3, 'A': 3, 'DEFAULT': 0, 'N': 2}, (0.8946041822255415, 0.6237033406844728, 0.5894108213695016))
({'R': 4, 'V': 3, 'A': 3, 'DEFAULT': 0, 'N': 2}, (0.8943941374159821, 0.6237033406844728, 0.5894245911400796))
({'R': 4, 'V': 3, 'A': 3, 'DEFAULT': 0, 'N': 3}, (0.8943707991038088, 0.6237033406844728, 0.5894176910392658))
({'R': 5, 'V': 3, 'A': 3, 'DEFAULT': 0, 'N': 3}, (0.8943941374159821, 0.6237033406844728, 0.5894033580543904))
({'R': 4, 'V': 3, 'A': 5, 'DEFAULT': 0, 'N': 4}, (0.8944641523525019, 0.6237033406844728, 0.5894033580543904))
