({'A': 3, 'R': 1, 'DEFAULT': 0, 'V': 2, 'N': 3}, (0.8772638162808065, 0.6246018132810586, 0.5885978634550422))
({'A': 5, 'DEFAULT': 0, 'R': 1, 'N': 5, 'V': 4}, (0.8773571695294996, 0.6246018132810586, 0.5885900592028218))
({'A': 3, 'R': 2, 'DEFAULT': 0, 'V': 3, 'N': 5}, (0.8773104929051531, 0.6246018132810586, 0.5885807996417295))
({'A': 3, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 4}, (0.8773571695294996, 0.6246018132810586, 0.588574394554254))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 4}, (0.8773805078416729, 0.6245201339540962, 0.5885276125468938))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 3, 'N': 4}, (0.8772638162808065, 0.6245201339540962, 0.5885276125468938))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8773104929051531, 0.6245201339540962, 0.5885197945758042))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8774038461538461, 0.6245201339540962, 0.5885190189693494))
({'A': 5, 'DEFAULT': 0, 'R': 4, 'N': 4, 'V': 1}, (0.8772404779686334, 0.6246018132810586, 0.5885066922447368))
({'A': 5, 'DEFAULT': 0, 'R': 5, 'N': 4, 'V': 1}, (0.8773338312173263, 0.6246018132810586, 0.5885066922447368))
({'A': 2, 'R': 1, 'DEFAULT': 0, 'N': 3, 'V': 2}, (0.8772871545929798, 0.6246018132810586, 0.5884981937839845))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 5}, (0.8773104929051531, 0.6246018132810586, 0.5884918014730864))
({'A': 1, 'R': 1, 'DEFAULT': 0, 'N': 5, 'V': 3}, (0.8771704630321135, 0.6243567753001715, 0.5884903915692012))
({'A': 5, 'DEFAULT': 0, 'R': 2, 'N': 5, 'V': 4}, (0.8771704630321135, 0.6244384546271339, 0.5884565776984299))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 5, 'N': 5}, (0.877123786407767, 0.6244384546271339, 0.5884495209024939))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8772171396564601, 0.6244384546271339, 0.5884495209024939))
({'A': 5, 'DEFAULT': 0, 'R': 1, 'N': 3, 'V': 2}, (0.8773104929051531, 0.6244384546271339, 0.5884487314785661))
({'A': 5, 'DEFAULT': 0, 'R': 1, 'N': 3, 'V': 1}, (0.8772871545929798, 0.6245201339540962, 0.5884442431879626))
({'A': 5, 'DEFAULT': 0, 'R': 3, 'N': 1, 'V': 1}, (0.8773338312173263, 0.6247651719349833, 0.588437357355638))
({'A': 2, 'R': 1, 'DEFAULT': 0, 'N': 4, 'V': 2}, (0.8774038461538461, 0.6245201339540962, 0.5884270936649887))
