({'V': 4, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566327483196415, 0.6271338724168913, 0.5883798331628309))
({'V': 2, 'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8566327483196415, 0.6269705137629666, 0.5881741984618677))
({'V': 2, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8576596340552651, 0.6269705137629666, 0.5880503320050721))
({'V': 4, 'A': 2, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8566327483196415, 0.6269705137629666, 0.5881741984618677))
({'V': 5, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566560866318148, 0.6269705137629666, 0.5881603632140826))
({'V': 5, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8570995145631068, 0.6269705137629666, 0.5881503250134678))
({'V': 5, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8572162061239731, 0.6269705137629666, 0.5881313860804844))
({'V': 4, 'A': 3, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8568661314413741, 0.6268888344360043, 0.5881023536379755))
({'V': 4, 'A': 3, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8567261015683346, 0.6268888344360043, 0.5880227938878224))
({'V': 4, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.857029499626587, 0.6268888344360043, 0.5878443764938112))
({'V': 5, 'A': 3, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566560866318148, 0.6268888344360043, 0.5877828531142432))
({'V': 5, 'A': 4, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8566794249439881, 0.6268888344360043, 0.5883232429552021))
({'V': 5, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8572628827483196, 0.6268888344360043, 0.588139983262162))
({'V': 1, 'A': 4, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8575429424943988, 0.626807155109042, 0.5880881015418152))
({'V': 1, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8578230022404779, 0.626807155109042, 0.5881881471423919))
({'V': 2, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.857472927557879, 0.626807155109042, 0.5878749735974244))
({'V': 3, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8568661314413741, 0.626807155109042, 0.5875697602244117))
({'V': 3, 'A': 3, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8565393950709485, 0.626807155109042, 0.5882456423654377))
({'V': 3, 'A': 5, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8569828230022405, 0.626807155109042, 0.5880166021412215))
({'V': 4, 'A': 5, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8568661314413741, 0.626807155109042, 0.5877952119754246))
