({'V': 4, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566327483196415, 0.6271338724168913, 0.5883798331628309))
({'V': 5, 'A': 4, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8566794249439881, 0.6268888344360043, 0.5883232429552021))
({'V': 3, 'A': 3, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8565393950709485, 0.626807155109042, 0.5882456423654377))
({'V': 5, 'A': 4, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8567961165048543, 0.626807155109042, 0.5882397088463399))
({'V': 5, 'A': 4, 'N': 3, 'R': 4, 'DEFAULT': 0}, (0.8566094100074683, 0.6266437964551173, 0.5882135344855522))
({'V': 1, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8570528379387603, 0.6267254757820796, 0.5881959082163043))
({'V': 1, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8577063106796117, 0.6266437964551173, 0.5881921095999262))
({'V': 1, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8578230022404779, 0.626807155109042, 0.5881881471423919))
({'V': 2, 'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8566327483196415, 0.6269705137629666, 0.5881741984618677))
({'V': 4, 'A': 2, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8566327483196415, 0.6269705137629666, 0.5881741984618677))
({'V': 5, 'A': 2, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8567027632561613, 0.6267254757820796, 0.5881704104309916))
({'V': 1, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8575429424943988, 0.6266437964551173, 0.5881628605878235))
({'V': 5, 'A': 2, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8566560866318148, 0.6269705137629666, 0.5881603632140826))
({'V': 4, 'A': 2, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8566560866318148, 0.6267254757820796, 0.5881579278925915))
({'V': 5, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8570995145631068, 0.6269705137629666, 0.5881503250134678))
({'V': 5, 'A': 3, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8567261015683346, 0.626807155109042, 0.5881503048411778))
({'V': 5, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8572628827483196, 0.6268888344360043, 0.588139983262162))
({'V': 5, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8572162061239731, 0.6269705137629666, 0.5881313860804844))
({'V': 5, 'A': 2, 'N': 3, 'R': 4, 'DEFAULT': 0}, (0.8567494398805079, 0.6266437964551173, 0.5881147579406605))
({'V': 1, 'A': 5, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8570528379387603, 0.6266437964551173, 0.5881043700155506))
