({'V': 1, 'R+A': 3, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8566560866318148, 0.6262353998203055, 0.5875881002224468))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.856142643764003, 0.6259903618394185, 0.5875269095667267))
({'V': 1, 'R+A': 3, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8565627333831217, 0.6261537204933432, 0.5875119538992977))
({'V': 1, 'R+A': 3, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8566794249439881, 0.6259903618394185, 0.5874144417815481))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.856235997012696, 0.6258270031854938, 0.5873884120617866))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8560959671396564, 0.6259086825124561, 0.5873572709765843))
({'V': 1, 'R+A': 2, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.8560959671396564, 0.6258270031854938, 0.5872876776513124))
({'V': 2, 'R+A': 4, 'N': 2, 'E': 4, 'DEFAULT': 0}, (0.8560959671396564, 0.6258270031854938, 0.5872876776513124))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8569128080657207, 0.6259903618394185, 0.587264045028044))
({'V': 2, 'R+A': 4, 'N': 2, 'E': 5, 'DEFAULT': 0}, (0.85604929051531, 0.6257453238585314, 0.5872246514931122))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8569128080657207, 0.6259086825124561, 0.5872017662471369))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.856936146377894, 0.6259086825124561, 0.5872017662471369))
({'V': 1, 'R+A': 5, 'N': 2, 'E': 1, 'DEFAULT': 0}, (0.8568427931292009, 0.6259086825124561, 0.5871993855271611))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 4, 'DEFAULT': 0}, (0.8563060119492159, 0.6260720411663808, 0.5871968673039226))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 3, 'DEFAULT': 0}, (0.8563060119492159, 0.6260720411663808, 0.5871887906400707))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8563993651979089, 0.6259903618394185, 0.587147916379804))
({'V': 2, 'R+A': 5, 'N': 3, 'E': 5, 'DEFAULT': 0}, (0.8560726288274833, 0.6257453238585314, 0.5871458726269516))
({'V': 2, 'R+A': 3, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8563060119492159, 0.6259903618394185, 0.5871405333440194))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 5, 'DEFAULT': 0}, (0.8562826736370426, 0.6259903618394185, 0.5871184378562434))
({'V': 3, 'R+A': 5, 'N': 2, 'E': 2, 'DEFAULT': 0}, (0.8564227035100822, 0.6260720411663808, 0.5871162694115456))
