({'V': 1, 'R+A': 5, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.877123786407767, 0.623294944049661, 0.5871593475054183))
({'V': 1, 'R+A': 5, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8771704630321135, 0.623294944049661, 0.587167195616661))
({'V': 3, 'R+A': 5, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8771938013442868, 0.623294944049661, 0.5872128604570431))
({'V': 1, 'R+A': 5, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8771471247199403, 0.6232132647226987, 0.5871047330435631))
({'V': 3, 'R+A': 5, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8771704630321135, 0.6232132647226987, 0.5871504094173796))
({'V': 3, 'R+A': 5, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8771938013442868, 0.6232132647226987, 0.5871504094173796))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8770771097834205, 0.6231315853957363, 0.5870203711789116))
({'V': 3, 'R+A': 5, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.8771704630321135, 0.6231315853957363, 0.5869975104342697))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.8770304331590739, 0.623049906068774, 0.5869579071324746))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 3, 'DEFAULT': 0}, (0.8770070948469006, 0.623049906068774, 0.5869579071324746))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8770304331590739, 0.623049906068774, 0.5869579071324746))
({'V': 1, 'R+A': 5, 'N': 1, 'E': 2, 'DEFAULT': 0}, (0.877123786407767, 0.623049906068774, 0.5868876450006453))
({'V': 3, 'R+A': 5, 'N': 1, 'E': 1, 'DEFAULT': 0}, (0.8771471247199403, 0.623049906068774, 0.5869350606797613))
({'V': 4, 'R+A': 5, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8771938013442868, 0.623049906068774, 0.5870691472459325))
({'V': 5, 'R+A': 4, 'N': 5, 'E': 4, 'DEFAULT': 0}, (0.876773711725168, 0.623049906068774, 0.5874957036654401))
({'V': 4, 'R+A': 3, 'N': 4, 'E': 4, 'DEFAULT': 0}, (0.8767503734129948, 0.6229682267418116, 0.5874332605114729))
({'V': 5, 'R+A': 5, 'N': 1, 'E': 4, 'DEFAULT': 0}, (0.8771471247199403, 0.6229682267418116, 0.586938385082654))
({'V': 5, 'R+A': 5, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8771938013442868, 0.6229682267418116, 0.586938385082654))
({'V': 1, 'R+A': 3, 'N': 1, 'E': 5, 'DEFAULT': 0}, (0.8769604182225541, 0.6228865474148493, 0.5869077157162891))
({'V': 1, 'R+A': 4, 'N': 1, 'E': 1, 'DEFAULT': 0}, (0.8770304331590739, 0.6228865474148493, 0.5867346369881233))
