({'V': 2, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6359456684092606, 0.5785346728742955, 0.474958055139247))
({'V': 3, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.637042569081404, 0.579351466143919, 0.4735128504150121))
({'V': 2, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.636949215832711, 0.5777995589316344, 0.4733543010699315))
({'V': 3, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.634918782673637, 0.577472841623785, 0.4731684075998448))
({'V': 2, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6363190814040328, 0.5760026137384628, 0.4730698107333786))
({'V': 3, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6355489171023152, 0.5782896348934085, 0.4727559670725678))
({'V': 1, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6357589619118745, 0.5744507065261782, 0.47238543438023495))
({'V': 2, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6366691560866318, 0.5786980315282202, 0.472354585861641))
({'V': 1, 'N': 1, 'A+R': 2, 'DEFAULT': 0}, (0.6375793502613891, 0.5785346728742955, 0.47216809780296637))
({'V': 2, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6375793502613891, 0.5785346728742955, 0.47216809780296637))
({'V': 4, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6344520164301718, 0.5770644449889732, 0.472053297842667))
({'V': 4, 'N': 2, 'A+R': 5, 'DEFAULT': 0}, (0.6370892457057505, 0.5788613901821449, 0.4719427538954309))
({'V': 3, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6369258775205378, 0.5792697868169566, 0.47144045360269354))
({'V': 1, 'N': 2, 'A+R': 4, 'DEFAULT': 0}, (0.6364824495892457, 0.5751858204688394, 0.47120868905627605))
({'V': 4, 'N': 1, 'A+R': 4, 'DEFAULT': 0}, (0.6355722554144885, 0.5767377276811239, 0.4710431950826605))
({'V': 4, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6372759522031367, 0.5790247488360696, 0.4710019283664888))
({'V': 5, 'N': 1, 'A+R': 5, 'DEFAULT': 0}, (0.6351054891710232, 0.5759209344115005, 0.4709122688603546))
({'V': 3, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6375560119492159, 0.5786980315282202, 0.47086480899681743))
({'V': 1, 'N': 1, 'A+R': 3, 'DEFAULT': 0}, (0.6361790515309933, 0.5757575757575758, 0.47081073438058896))
({'V': 2, 'N': 3, 'A+R': 5, 'DEFAULT': 0}, (0.6368792008961912, 0.5770644449889732, 0.47079425818438475))
