({'DEFAULT': 0, 'R': 2, 'A': 4, 'E': 3, 'N': 2, 'V': 1}, (0.8986979598606734, 0.6414163401538239, 0.6425154324078229))
({'DEFAULT': 0, 'R': 2, 'A': 4, 'E': 4, 'N': 2, 'V': 1}, (0.8986150273677227, 0.6414163401538239, 0.6425209850426338))
({'DEFAULT': 0, 'R': 3, 'A': 3, 'N': 1, 'E': 3, 'V': 1}, (0.8987394261071487, 0.6414163401538239, 0.6425385495619779))
({'DEFAULT': 0, 'R': 3, 'A': 3, 'N': 1, 'E': 4, 'V': 1}, (0.8986564936141981, 0.6414163401538239, 0.6425385495619779))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 2, 'E': 1, 'R': 4}, (0.8989052910930503, 0.6414163401538239, 0.6424987763052229))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 2, 'E': 2, 'R': 4}, (0.8987808923536241, 0.6414163401538239, 0.6425286446757715))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 2, 'E': 3, 'R': 4}, (0.8987808923536241, 0.6414163401538239, 0.6425286446757715))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 2, 'E': 4, 'R': 4}, (0.8986979598606734, 0.6414163401538239, 0.6425286446757715))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 1, 'E': 2, 'R': 1}, (0.8987808923536241, 0.6412712233347845, 0.6423654579782511))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 1, 'E': 4, 'R': 1}, (0.8987394261071487, 0.6412712233347845, 0.6423929891544088))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 2, 'E': 1, 'R': 1}, (0.8988638248465749, 0.6412712233347845, 0.6423631845002499))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 2, 'E': 2, 'R': 1}, (0.8989052910930503, 0.6412712233347845, 0.6423631845002499))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 2, 'E': 3, 'R': 1}, (0.8988638248465749, 0.6412712233347845, 0.6423631845002499))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 2, 'E': 4, 'R': 1}, (0.8988638248465749, 0.6412712233347845, 0.6423643298213545))
({'DEFAULT': 0, 'R': 2, 'A': 4, 'E': 1, 'N': 2, 'V': 1}, (0.8988223586000995, 0.6412712233347845, 0.6423764878132557))
({'DEFAULT': 0, 'R': 2, 'A': 4, 'E': 2, 'N': 2, 'V': 1}, (0.8986979598606734, 0.6412712233347845, 0.6423764878132557))
({'DEFAULT': 0, 'R': 3, 'A': 3, 'N': 1, 'E': 1, 'V': 1}, (0.8987394261071487, 0.6412712233347845, 0.6423852937773241))
({'DEFAULT': 0, 'R': 3, 'A': 3, 'N': 1, 'E': 2, 'V': 1}, (0.8987394261071487, 0.6412712233347845, 0.6423874615612719))
({'DEFAULT': 0, 'R': 3, 'A': 3, 'N': 2, 'E': 4, 'V': 1}, (0.8986564936141981, 0.6412712233347845, 0.6423819172900346))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 1, 'E': 1, 'R': 4}, (0.8986979598606734, 0.6412712233347845, 0.6424051015586233))
