({'R+A': 5, 'DEFAULT': 0, 'N': 3, 'V': 3, 'E': 1}, (0.8735279482501244, 0.6434479756203744, 0.6444919834789419))
({'R+A': 5, 'DEFAULT': 0, 'N': 4, 'V': 3, 'E': 4}, (0.8735279482501244, 0.6433028588013351, 0.6443776004801016))
({'R+A': 4, 'DEFAULT': 0, 'V': 2, 'N': 3, 'E': 2}, (0.8737767457289766, 0.6433028588013351, 0.6443628340050749))
({'R+A': 5, 'DEFAULT': 0, 'N': 1, 'V': 2, 'E': 5}, (0.8741914081937303, 0.6434479756203744, 0.6443602690805087))
({'R+A': 4, 'DEFAULT': 0, 'V': 1, 'N': 3, 'E': 3}, (0.8743987394261071, 0.6433028588013351, 0.6443479735956453))
({'R+A': 4, 'DEFAULT': 0, 'V': 1, 'N': 3, 'E': 4}, (0.8743987394261071, 0.6433028588013351, 0.6443479735956453))
({'R+A': 4, 'DEFAULT': 0, 'N': 3, 'V': 1, 'E': 5}, (0.8742743406866811, 0.6433028588013351, 0.6443479735956453))
({'R+A': 3, 'DEFAULT': 0, 'V': 1, 'E': 1, 'N': 1}, (0.8740670094543042, 0.6433028588013351, 0.6443249905828186))
({'R+A': 5, 'DEFAULT': 0, 'N': 1, 'V': 2, 'E': 3}, (0.8742328744402057, 0.6433028588013351, 0.6442394690262816))
({'R+A': 5, 'DEFAULT': 0, 'N': 1, 'V': 2, 'E': 4}, (0.8742743406866811, 0.6433028588013351, 0.6442394690262816))
({'R+A': 5, 'DEFAULT': 0, 'N': 1, 'V': 2, 'E': 2}, (0.8741914081937303, 0.6433028588013351, 0.6442352633215304))
({'R+A': 5, 'DEFAULT': 0, 'N': 4, 'V': 3, 'E': 5}, (0.873486482003649, 0.6431577419822957, 0.6442308242759047))
({'R+A': 5, 'DEFAULT': 0, 'N': 4, 'V': 3, 'E': 2}, (0.8735279482501244, 0.6431577419822957, 0.6442264936542995))
({'R+A': 5, 'DEFAULT': 0, 'N': 4, 'V': 3, 'E': 3}, (0.8735279482501244, 0.6431577419822957, 0.6442264936542995))
({'R+A': 4, 'DEFAULT': 0, 'V': 2, 'N': 3, 'E': 4}, (0.8737352794825013, 0.6431577419822957, 0.644225192644703))
({'R+A': 5, 'DEFAULT': 0, 'N': 3, 'V': 3, 'E': 2}, (0.8735694144965997, 0.6431577419822957, 0.6442185579539951))
({'R+A': 1, 'DEFAULT': 0, 'E': 5, 'N': 1, 'V': 1}, (0.8732376845247968, 0.6431577419822957, 0.6442135608753002))
({'R+A': 4, 'DEFAULT': 0, 'V': 2, 'N': 2, 'E': 1}, (0.8737767457289766, 0.6431577419822957, 0.6442121589569582))
({'R+A': 5, 'DEFAULT': 0, 'N': 5, 'V': 3, 'E': 1}, (0.8736108807430751, 0.6431577419822957, 0.644207820007603))
({'R+A': 5, 'DEFAULT': 0, 'N': 5, 'V': 3, 'E': 2}, (0.8736523469895505, 0.6431577419822957, 0.644207820007603))
