({'A': 1, 'N': 2, 'V': 5, 'DEFAULT': 0, 'R': 1}, (0.9012322628827483, 0.6497590459854611, 0.6239625902412042))
({'A': 1, 'N': 4, 'V': 4, 'DEFAULT': 0, 'R': 5}, (0.9011622479462286, 0.6497590459854611, 0.6239879917648086))
({'A': 1, 'N': 5, 'V': 5, 'DEFAULT': 0, 'R': 2}, (0.9011622479462286, 0.6497590459854611, 0.6239978019985836))
({'A': 1, 'N': 1, 'V': 4, 'DEFAULT': 0, 'R': 1}, (0.9014189693801344, 0.6496773666584987, 0.6239088414022224))
({'A': 1, 'N': 1, 'V': 4, 'DEFAULT': 0, 'R': 3}, (0.9014189693801344, 0.6496773666584987, 0.6238377200515142))
({'A': 1, 'N': 4, 'V': 4, 'DEFAULT': 0, 'R': 4}, (0.9011622479462286, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'V': 4, 'DEFAULT': 0, 'R': 3}, (0.9012089245705751, 0.6496773666584987, 0.6239269293342004))
({'A': 1, 'N': 5, 'V': 5, 'DEFAULT': 0, 'R': 3}, (0.9011622479462286, 0.6496773666584987, 0.6238557667944876))
({'A': 1, 'N': 5, 'V': 5, 'DEFAULT': 0, 'R': 4}, (0.9011389096340553, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 1, 'V': 4, 'DEFAULT': 0, 'R': 2}, (0.9013956310679612, 0.6495956873315364, 0.6237668340160073))
({'A': 1, 'N': 1, 'V': 5, 'DEFAULT': 0, 'R': 1}, (0.901465646004481, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 1, 'V': 5, 'DEFAULT': 0, 'R': 3}, (0.9014189693801344, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 1, 'V': 5, 'DEFAULT': 0, 'R': 4}, (0.9014889843166543, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 1, 'V': 5, 'DEFAULT': 0, 'R': 5}, (0.9016056758775205, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 2, 'V': 4, 'DEFAULT': 0, 'R': 1}, (0.9011855862584018, 0.6495956873315364, 0.6238208237226989))
({'A': 1, 'N': 2, 'V': 5, 'DEFAULT': 0, 'R': 3}, (0.9012789395070948, 0.6495956873315364, 0.6237575377363037))
({'A': 1, 'N': 3, 'V': 3, 'DEFAULT': 0, 'R': 5}, (0.901115571321882, 0.6495956873315364, 0.6238462585024757))
({'A': 1, 'N': 4, 'V': 4, 'DEFAULT': 0, 'R': 2}, (0.9011622479462286, 0.6495956873315364, 0.6238462585024757))
({'A': 1, 'N': 4, 'V': 4, 'DEFAULT': 0, 'R': 3}, (0.9011622479462286, 0.6495956873315364, 0.6238462585024757))
({'A': 1, 'N': 4, 'V': 5, 'DEFAULT': 0, 'R': 3}, (0.9011389096340553, 0.6495956873315364, 0.6238286574914965))
