({'#': 1, 'A': 1, 'E': 3, 'DEFAULT': 0}, (0.8697130535743904, 0.6419968074299811, 0.6430422438148721))
({'#': 2, 'A': 1, 'E': 4, 'DEFAULT': 0}, (0.870003317299718, 0.6419968074299811, 0.6430323103152003))
({'#': 1, 'A': 1, 'E': 4, 'DEFAULT': 0}, (0.8697959860673412, 0.6419968074299811, 0.6430283580369293))
({'#': 3, 'A': 3, 'E': 4, 'DEFAULT': 0}, (0.8699203848067673, 0.6418516906109418, 0.6428819738622306))
({'#': 3, 'A': 1, 'E': 4, 'DEFAULT': 0}, (0.8699203848067673, 0.6417065737919024, 0.6427736482492258))
({'#': 2, 'A': 1, 'E': 3, 'DEFAULT': 0}, (0.8698789185602919, 0.6417065737919024, 0.6427615015822584))
({'#': 3, 'A': 3, 'E': 1, 'DEFAULT': 0}, (0.8700862497926688, 0.6417065737919024, 0.6427433819356397))
({'#': 2, 'A': 3, 'E': 4, 'DEFAULT': 0}, (0.8696301210814397, 0.6417065737919024, 0.6427349165206762))
({'#': 2, 'A': 1, 'E': 2, 'DEFAULT': 0}, (0.8699618510532426, 0.6415614569728632, 0.642632570310739))
({'#': 4, 'A': 2, 'E': 4, 'DEFAULT': 0}, (0.8699618510532426, 0.6415614569728632, 0.642632570310739))
({'#': 3, 'A': 2, 'E': 4, 'DEFAULT': 0}, (0.8699203848067673, 0.6415614569728632, 0.6426274265972616))
({'#': 3, 'A': 2, 'E': 3, 'DEFAULT': 0}, (0.870003317299718, 0.6415614569728632, 0.6426121152527514))
({'#': 1, 'A': 1, 'E': 2, 'DEFAULT': 0}, (0.8697545198208658, 0.6415614569728632, 0.6425979586002937))
({'#': 2, 'A': 2, 'E': 4, 'DEFAULT': 0}, (0.8697545198208658, 0.6415614569728632, 0.6425979586002937))
({'#': 2, 'A': 2, 'E': 3, 'DEFAULT': 0}, (0.8699203848067673, 0.6415614569728632, 0.6425973846032415))
({'#': 4, 'A': 1, 'E': 4, 'DEFAULT': 0}, (0.8699618510532426, 0.6414163401538239, 0.6425088350196194))
({'#': 4, 'A': 4, 'E': 3, 'DEFAULT': 0}, (0.8696301210814397, 0.6414163401538239, 0.6424743301655699))
({'#': 1, 'A': 1, 'E': 1, 'DEFAULT': 0}, (0.8697545198208658, 0.6414163401538239, 0.6424513396335922))
({'#': 2, 'A': 2, 'E': 2, 'DEFAULT': 0}, (0.8697545198208658, 0.6414163401538239, 0.6424513396335922))
({'#': 3, 'A': 3, 'E': 3, 'DEFAULT': 0}, (0.8697545198208658, 0.6414163401538239, 0.6424513396335922))
