({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.917523635760491, 0.6386591205920766, 0.6396697162447345))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.9174821695140156, 0.6386591205920766, 0.6396697162447345))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.917523635760491, 0.6386591205920766, 0.6396697162447345))
({'V': 2, 'A': 3, 'N+#': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.9175651020069663, 0.6385140037730372, 0.6395382681955412))
({'V': 2, 'A': 3, 'N+#': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.9176065682534417, 0.6385140037730372, 0.6395481034534447))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9174821695140156, 0.6385140037730372, 0.6395184631485865))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.9176065682534417, 0.6385140037730372, 0.6395110699013888))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.9176065682534417, 0.6385140037730372, 0.6395306489767841))
({'V': 2, 'A': 3, 'N+#': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.9175651020069663, 0.638368886953998, 0.639412575424035))
({'V': 2, 'A': 3, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9176065682534417, 0.638368886953998, 0.639412575424035))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.9177724332393432, 0.638368886953998, 0.6393793875390025))
({'V': 2, 'A': 4, 'N+#': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.917648034499917, 0.638368886953998, 0.6393793875390025))
({'V': 4, 'A': 4, 'N+#': 2, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.9176895007463924, 0.638368886953998, 0.639412575424035))
({'V': 4, 'A': 4, 'N+#': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9177309669928678, 0.638368886953998, 0.639412575424035))
({'V': 1, 'A': 3, 'N+#': 3, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9176895007463924, 0.6382237701349587, 0.6392505585963458))
({'V': 1, 'A': 4, 'N+#': 3, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.9178968319787693, 0.6382237701349587, 0.6392563862410351))
({'V': 1, 'A': 4, 'N+#': 3, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9178968319787693, 0.6382237701349587, 0.6392672026489792))
({'V': 2, 'A': 3, 'N+#': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.9175651020069663, 0.6382237701349587, 0.6392499461942015))
({'V': 2, 'A': 3, 'N+#': 3, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.9176065682534417, 0.6382237701349587, 0.6392603951948792))
({'V': 3, 'A': 4, 'N+#': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.9176895007463924, 0.6382237701349587, 0.6392588277246015))
