({'V': 2, 'A': 4, 'N': 2, 'R': 3, 'E': 1, 'DEFAULT': 0}, (0.8743158069331564, 0.6435930924394138, 0.6445934969909236))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.8748548681373363, 0.6434479756203744, 0.6444358495197359))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.8748548681373363, 0.6434479756203744, 0.6444358495197359))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8747719356443855, 0.6434479756203744, 0.6444346222638492))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 3, 'DEFAULT': 0}, (0.8749378006302869, 0.6434479756203744, 0.6444061315200025))
({'V': 2, 'A': 2, 'N': 1, 'R': 4, 'E': 4, 'DEFAULT': 0}, (0.8745646044120087, 0.6434479756203744, 0.6443766822632316))
({'V': 2, 'A': 4, 'N': 2, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.8744402056725825, 0.6433028588013351, 0.6443441752487341))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8748134018908609, 0.6433028588013351, 0.6442969559048213))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8747719356443855, 0.6433028588013351, 0.6442958036039462))
({'V': 2, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8744816719190579, 0.6433028588013351, 0.6442910927314609))
({'V': 2, 'A': 3, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8745646044120087, 0.6433028588013351, 0.6442801590914494))
({'V': 2, 'A': 4, 'N': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8742743406866811, 0.6431577419822957, 0.6442625938404328))
({'V': 2, 'A': 4, 'N': 2, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8743987394261071, 0.6431577419822957, 0.6442356448236827))
({'V': 1, 'A': 2, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8742328744402057, 0.6431577419822957, 0.6441721492000684))
({'V': 2, 'A': 4, 'N': 2, 'R': 4, 'E': 2, 'DEFAULT': 0}, (0.8742328744402057, 0.6431577419822957, 0.6441721492000684))
({'V': 1, 'A': 3, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8746475369049593, 0.6431577419822957, 0.644148392614572))
({'V': 2, 'A': 3, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.8743987394261071, 0.6431577419822957, 0.6441419927198195))
({'V': 1, 'A': 3, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8747304693979101, 0.6431577419822957, 0.6441225422551932))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 4, 'DEFAULT': 0}, (0.8749792668767623, 0.6431577419822957, 0.6441181818276908))
({'V': 1, 'A': 1, 'N': 1, 'R': 4, 'E': 1, 'DEFAULT': 0}, (0.8742743406866811, 0.6431577419822957, 0.6441160928907165))
