({'V': 2, 'A': 5, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.874606070658484, 0.644173559715571, 0.6451485119002245))
({'V': 2, 'A': 5, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8745646044120087, 0.643738209258453, 0.6447344513156449))
({'V': 2, 'A': 5, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8745646044120087, 0.6435930924394138, 0.6446336258213294))
({'V': 1, 'A': 2, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8743572731796317, 0.6435930924394138, 0.6445839140660558))
({'V': 2, 'A': 4, 'N': 2, 'R': 2, 'DEFAULT': 0}, (0.8743572731796317, 0.6435930924394138, 0.6445839140660558))
({'V': 2, 'A': 5, 'N': 2, 'R': 4, 'DEFAULT': 0}, (0.8746475369049593, 0.6435930924394138, 0.6445822829539756))
({'V': 1, 'A': 3, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.8746475369049593, 0.6435930924394138, 0.6445606221793044))
({'V': 3, 'A': 5, 'N': 3, 'R': 3, 'DEFAULT': 0}, (0.8739840769613535, 0.6434479756203744, 0.6444660102712761))
({'V': 2, 'A': 5, 'N': 2, 'R': 5, 'DEFAULT': 0}, (0.8744816719190579, 0.6434479756203744, 0.6444491537981257))
({'V': 1, 'A': 1, 'N': 1, 'R': 4, 'DEFAULT': 0}, (0.8745646044120087, 0.6434479756203744, 0.6444302374232218))
({'V': 2, 'A': 5, 'N': 1, 'R': 4, 'DEFAULT': 0}, (0.8752280643556145, 0.6434479756203744, 0.6443772831557709))
({'V': 2, 'A': 5, 'N': 3, 'R': 2, 'DEFAULT': 0}, (0.8742328744402057, 0.6433028588013351, 0.6443157628166757))
({'V': 1, 'A': 3, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.8748134018908609, 0.6433028588013351, 0.644310898372021))
({'V': 2, 'A': 4, 'N': 2, 'R': 3, 'DEFAULT': 0}, (0.8742328744402057, 0.6433028588013351, 0.6442983375678639))
({'V': 1, 'A': 3, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.8748134018908609, 0.6433028588013351, 0.6442906896411885))
({'V': 2, 'A': 5, 'N': 1, 'R': 5, 'DEFAULT': 0}, (0.8751036656161885, 0.6433028588013351, 0.6442698796690393))
({'V': 2, 'A': 5, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.8752695306020899, 0.6433028588013351, 0.6442330395762937))
({'V': 1, 'A': 4, 'N': 3, 'R': 1, 'DEFAULT': 0}, (0.8751036656161885, 0.6431577419822957, 0.644185243282087))
({'V': 1, 'A': 3, 'N': 2, 'R': 1, 'DEFAULT': 0}, (0.8744816719190579, 0.6431577419822957, 0.644183818489713))
({'V': 3, 'A': 5, 'N': 3, 'R': 4, 'DEFAULT': 0}, (0.8741084757007795, 0.6431577419822957, 0.6441819692921918))
