({'DEFAULT': 0, 'V': 5, 'A': 5, 'N': 1, 'R': 3}, (0.8099601924033837, 0.6440284428965317, 0.6446885407321593))
({'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 5, 'A': 2}, (0.8093381987062531, 0.6438833260774924, 0.644786280994421))
({'R': 1, 'DEFAULT': 0, 'V': 2, 'N': 5, 'A': 3}, (0.8072648863824846, 0.643738209258453, 0.6446024064084793))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 5, 'R': 2}, (0.8090064687344501, 0.643738209258453, 0.6446615662207519))
({'DEFAULT': 0, 'V': 4, 'A': 4, 'N': 1, 'R': 3}, (0.8091723337203517, 0.643738209258453, 0.6444596539509694))
({'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 5, 'A': 4}, (0.8093381987062531, 0.6435930924394138, 0.6445286187029842))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'N': 5, 'R': 2}, (0.8091723337203517, 0.6435930924394138, 0.6445137814957645))
({'N': 1, 'DEFAULT': 0, 'A': 5, 'R': 4, 'V': 5}, (0.8097528611710068, 0.6435930924394138, 0.64427297202582))
({'DEFAULT': 0, 'V': 2, 'A': 3, 'N': 5, 'R': 2}, (0.8071404876430586, 0.6434479756203744, 0.6443335684672055))
({'N': 1, 'DEFAULT': 0, 'A': 4, 'R': 4, 'V': 5}, (0.8098357936639575, 0.6434479756203744, 0.6441714110936799))
({'N': 4, 'DEFAULT': 0, 'A': 2, 'R': 4, 'V': 1}, (0.8090064687344501, 0.6434479756203744, 0.64424694353391))
({'R': 5, 'DEFAULT': 0, 'A': 2, 'V': 1, 'N': 4}, (0.8093796649527285, 0.6434479756203744, 0.6442116266078419))
({'N': 5, 'DEFAULT': 0, 'A': 4, 'R': 3, 'V': 1}, (0.8089650024879748, 0.6433028588013351, 0.6442027659795494))
({'R': 1, 'DEFAULT': 0, 'V': 2, 'N': 5, 'A': 2}, (0.8074307513683862, 0.6431577419822957, 0.643993872085386))
({'DEFAULT': 0, 'V': 1, 'A': 1, 'N': 4, 'R': 2}, (0.8090479349809255, 0.6431577419822957, 0.6439903210778675))
({'DEFAULT': 0, 'V': 4, 'A': 5, 'N': 1, 'R': 3}, (0.8088820699950241, 0.6431577419822957, 0.6439191379857984))
({'DEFAULT': 0, 'V': 5, 'A': 4, 'N': 1, 'R': 3}, (0.8100016586498591, 0.6431577419822957, 0.6438839713061904))
({'R': 4, 'DEFAULT': 0, 'A': 4, 'V': 1, 'N': 5}, (0.809213799966827, 0.6431577419822957, 0.6440520877227512))
({'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 3, 'A': 4}, (0.8080112788190413, 0.6430126251632564, 0.6439620361578293))
({'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 4, 'A': 1}, (0.8090894012274009, 0.6430126251632564, 0.643866281466034))
