({'DEFAULT': 0, 'V': 2, 'N': 2, 'R': 3, 'A': 5}, (0.8742743406866811, 0.6438833260774924, 0.644848355356518))
({'DEFAULT': 0, 'V': 2, 'A': 5, 'R': 1, 'N': 2}, (0.8743572731796317, 0.6435930924394138, 0.6446166348710958))
({'DEFAULT': 0, 'V': 2, 'N': 2, 'R': 2, 'A': 5}, (0.8741914081937303, 0.6435930924394138, 0.6445719683777609))
({'DEFAULT': 0, 'V': 1, 'A': 2, 'R': 1, 'N': 1}, (0.8739840769613535, 0.6434479756203744, 0.6444486076132537))
({'DEFAULT': 0, 'V': 2, 'N': 2, 'R': 2, 'A': 4}, (0.8739840769613535, 0.6434479756203744, 0.6444486076132537))
({'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 5, 'V': 2}, (0.8742743406866811, 0.6434479756203744, 0.6444439335239766))
({'DEFAULT': 0, 'V': 1, 'N': 1, 'R': 3, 'A': 3}, (0.8744402056725825, 0.6434479756203744, 0.6443946886457778))
({'R': 3, 'DEFAULT': 0, 'A': 5, 'N': 3, 'V': 3}, (0.8736938132360259, 0.6433028588013351, 0.6443305797840926))
({'R': 4, 'DEFAULT': 0, 'A': 5, 'N': 3, 'V': 3}, (0.8737352794825013, 0.6433028588013351, 0.6443305797840926))
({'DEFAULT': 0, 'V': 2, 'A': 4, 'R': 1, 'N': 2}, (0.8739840769613535, 0.6433028588013351, 0.6443283597511762))
({'N': 2, 'DEFAULT': 0, 'A': 4, 'R': 5, 'V': 2}, (0.8742743406866811, 0.6433028588013351, 0.6443037243813065))
({'R': 4, 'DEFAULT': 0, 'A': 5, 'N': 2, 'V': 2}, (0.8743572731796317, 0.6433028588013351, 0.6442833041925896))
({'DEFAULT': 0, 'V': 3, 'A': 5, 'R': 1, 'N': 3}, (0.8737767457289766, 0.6431577419822957, 0.6442349887974748))
({'N': 2, 'DEFAULT': 0, 'A': 5, 'R': 5, 'V': 3}, (0.8744816719190579, 0.6431577419822957, 0.6442177278771473))
({'DEFAULT': 0, 'V': 2, 'A': 4, 'R': 1, 'N': 3}, (0.8740255432078289, 0.6431577419822957, 0.6442030064736691))
({'DEFAULT': 0, 'V': 2, 'A': 5, 'R': 1, 'N': 3}, (0.8741914081937303, 0.6431577419822957, 0.6442011676743449))
({'DEFAULT': 0, 'V': 3, 'A': 5, 'R': 1, 'N': 4}, (0.8739426107148781, 0.6431577419822957, 0.6441887703257682))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'R': 1, 'N': 1}, (0.8746475369049593, 0.6431577419822957, 0.6441755842085176))
({'DEFAULT': 0, 'V': 2, 'N': 2, 'R': 2, 'A': 3}, (0.8735694144965997, 0.6431577419822957, 0.6441692219501612))
({'DEFAULT': 0, 'V': 2, 'N': 3, 'R': 2, 'A': 5}, (0.8740255432078289, 0.6431577419822957, 0.6441632233382278))
