({'DEFAULT': 0, 'V': 1, 'A': 4, 'R': 3, 'N': 2}, (0.8992370210648533, 0.6408358728776665, 0.6419763394568212))
({'R': 4, 'DEFAULT': 0, 'V': 1, 'N': 2, 'A': 4}, (0.8991955548183779, 0.6408358728776665, 0.6419530923213251))
({'R': 5, 'DEFAULT': 0, 'A': 5, 'V': 1, 'N': 3}, (0.8992370210648533, 0.6408358728776665, 0.6419607335542984))
({'R': 1, 'DEFAULT': 0, 'N': 1, 'V': 1, 'A': 5}, (0.8991126223254271, 0.6406907560586272, 0.6418135985750487))
({'R': 1, 'DEFAULT': 0, 'N': 2, 'V': 1, 'A': 4}, (0.8992784873113285, 0.6406907560586272, 0.6418473343923509))
({'R': 1, 'DEFAULT': 0, 'N': 4, 'V': 3, 'A': 1}, (0.8984906286282965, 0.6406907560586272, 0.6417894619420254))
({'R': 1, 'DEFAULT': 0, 'N': 5, 'V': 2, 'A': 1}, (0.898988223586001, 0.6406907560586272, 0.6418319111179701))
({'DEFAULT': 0, 'V': 3, 'A': 5, 'R': 2, 'N': 3}, (0.8984491623818212, 0.6406907560586272, 0.6418638182628941))
({'DEFAULT': 0, 'V': 1, 'A': 5, 'R': 3, 'N': 3}, (0.8992370210648533, 0.6406907560586272, 0.6418119390995027))
({'R': 4, 'DEFAULT': 0, 'V': 1, 'N': 1, 'A': 4}, (0.8990296898324763, 0.6406907560586272, 0.641818383585015))
({'R': 4, 'DEFAULT': 0, 'V': 1, 'N': 2, 'A': 5}, (0.898988223586001, 0.6406907560586272, 0.6418252795081759))
({'R': 5, 'DEFAULT': 0, 'A': 4, 'V': 1, 'N': 1}, (0.8988638248465749, 0.6406907560586272, 0.6418473685861446))
({'R': 5, 'DEFAULT': 0, 'A': 5, 'V': 1, 'N': 2}, (0.8991540885719025, 0.6406907560586272, 0.6418153514675039))
({'R': 1, 'DEFAULT': 0, 'N': 5, 'V': 4, 'A': 1}, (0.8985320948747719, 0.6405456392395878, 0.6416394493704627))
({'R': 1, 'DEFAULT': 0, 'N': 5, 'V': 5, 'A': 2}, (0.8984906286282965, 0.6405456392395878, 0.6416596207220878))
({'R': 2, 'DEFAULT': 0, 'N': 2, 'V': 1, 'A': 3}, (0.898988223586001, 0.6405456392395878, 0.6416918130773056))
({'DEFAULT': 0, 'V': 4, 'A': 5, 'R': 2, 'N': 4}, (0.8982418311494443, 0.6405456392395878, 0.6416947913139196))
({'DEFAULT': 0, 'V': 4, 'A': 1, 'R': 2, 'N': 5}, (0.8986979598606734, 0.6405456392395878, 0.6416537786780742))
({'DEFAULT': 0, 'V': 4, 'A': 5, 'R': 2, 'N': 5}, (0.8981588986564936, 0.6405456392395878, 0.6416894090111628))
({'DEFAULT': 0, 'V': 1, 'A': 3, 'R': 3, 'N': 1}, (0.8991126223254271, 0.6405456392395878, 0.6416975013402166))
