({'R': 4, 'DEFAULT': 0, 'A': 2, 'N': 1, 'V': 2}, (0.9178138994858186, 0.6373530692207227, 0.6384010054687792))
({'DEFAULT': 0, 'V': 2, 'A': 2, 'R': 3, 'N': 1}, (0.9178553657322939, 0.6372079524016834, 0.638265784094321))
({'DEFAULT': 0, 'V': 5, 'A': 3, 'R': 3, 'N': 2}, (0.9181041632111461, 0.6372079524016834, 0.6382403767775248))
({'R': 4, 'DEFAULT': 0, 'A': 3, 'N': 2, 'V': 4}, (0.9180212307181954, 0.6372079524016834, 0.6382403767775248))
({'R': 4, 'DEFAULT': 0, 'A': 3, 'N': 2, 'V': 5}, (0.9180626969646708, 0.6372079524016834, 0.6382403767775248))
({'R': 4, 'DEFAULT': 0, 'A': 1, 'N': 3, 'V': 5}, (0.9181456294576215, 0.6372079524016834, 0.6382276733667042))
({'DEFAULT': 0, 'V': 2, 'A': 2, 'N': 1, 'R': 5}, (0.9177724332393432, 0.6372079524016834, 0.638252162721142))
({'DEFAULT': 0, 'V': 3, 'A': 2, 'N': 1, 'R': 5}, (0.9180212307181954, 0.6372079524016834, 0.6382104970957195))
({'DEFAULT': 0, 'V': 4, 'A': 4, 'N': 2, 'R': 5}, (0.9179382982252446, 0.6372079524016834, 0.6382377485330234))
({'DEFAULT': 0, 'V': 5, 'A': 3, 'N': 2, 'R': 5}, (0.9179382982252446, 0.6372079524016834, 0.6382303117103099))
({'DEFAULT': 0, 'V': 5, 'A': 4, 'N': 2, 'R': 5}, (0.9180212307181954, 0.6372079524016834, 0.6382385691636568))
({'DEFAULT': 0, 'V': 4, 'A': 1, 'N': 4, 'R': 5}, (0.9180212307181954, 0.6372079524016834, 0.6382403767775248))
({'DEFAULT': 0, 'V': 5, 'N': 2, 'R': 1, 'A': 4}, (0.9181456294576215, 0.637062835582644, 0.6381160501559017))
({'DEFAULT': 0, 'V': 2, 'N': 1, 'R': 2, 'A': 2}, (0.9179382982252446, 0.637062835582644, 0.6381025237262022))
({'DEFAULT': 0, 'V': 5, 'A': 4, 'R': 2, 'N': 2}, (0.9180212307181954, 0.637062835582644, 0.6381160501559017))
({'DEFAULT': 0, 'V': 3, 'A': 2, 'R': 3, 'N': 1}, (0.9180626969646708, 0.637062835582644, 0.6380861906275982))
({'DEFAULT': 0, 'V': 2, 'A': 1, 'R': 3, 'N': 2}, (0.9180212307181954, 0.637062835582644, 0.6380924419361039))
({'DEFAULT': 0, 'V': 4, 'A': 3, 'R': 3, 'N': 2}, (0.9180626969646708, 0.637062835582644, 0.6381051101801701))
({'DEFAULT': 0, 'V': 5, 'A': 4, 'R': 3, 'N': 2}, (0.9180212307181954, 0.637062835582644, 0.6381160501559017))
({'DEFAULT': 0, 'V': 3, 'A': 1, 'R': 3, 'N': 3}, (0.9181041632111461, 0.637062835582644, 0.6381033544559401))
