({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 2, 'A': 4}, (0.9333637419140819, 0.6344507328399361, 0.6354147000183711))
({'DEFAULT': 0, 'V': 1, 'A': 1, 'R': 5, 'N': 2}, (0.9334052081605573, 0.6343056160208969, 0.635303739162908))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 4, 'R': 1}, (0.9333222756676066, 0.6343056160208969, 0.6352794888225017))
({'DEFAULT': 0, 'V': 1, 'A': 5, 'N': 3, 'R': 1}, (0.9332808094211312, 0.6343056160208969, 0.6352693300518061))
({'DEFAULT': 0, 'V': 1, 'A': 4, 'N': 5, 'R': 1}, (0.9333222756676066, 0.6343056160208969, 0.6352693300518061))
({'DEFAULT': 0, 'V': 1, 'A': 5, 'N': 4, 'R': 1}, (0.9333637419140819, 0.6343056160208969, 0.6352686429499176))
({'N': 4, 'DEFAULT': 0, 'V': 1, 'R': 2, 'A': 5}, (0.9333222756676066, 0.6343056160208969, 0.6352686429499176))
({'N': 5, 'DEFAULT': 0, 'V': 1, 'R': 2, 'A': 5}, (0.9333637419140819, 0.6343056160208969, 0.6352686429499176))
({'DEFAULT': 0, 'V': 1, 'A': 5, 'N': 5, 'R': 1}, (0.9332808094211312, 0.6343056160208969, 0.6352585008423745))
({'N': 4, 'DEFAULT': 0, 'V': 3, 'R': 2, 'A': 1}, (0.9333637419140819, 0.6341604992018575, 0.6351890510528436))
({'N': 3, 'DEFAULT': 0, 'V': 2, 'R': 3, 'A': 1}, (0.9334052081605573, 0.6341604992018575, 0.6351890510528436))
({'N': 4, 'DEFAULT': 0, 'V': 3, 'R': 3, 'A': 1}, (0.9333637419140819, 0.6341604992018575, 0.6351890510528436))
({'N': 4, 'DEFAULT': 0, 'V': 4, 'R': 3, 'A': 1}, (0.9333637419140819, 0.6341604992018575, 0.6351890510528436))
({'N': 4, 'DEFAULT': 0, 'V': 5, 'R': 3, 'A': 1}, (0.9333222756676066, 0.6341604992018575, 0.6351890510528436))
({'N': 5, 'DEFAULT': 0, 'V': 4, 'R': 3, 'A': 1}, (0.9332393431746558, 0.6341604992018575, 0.6351890510528436))
({'N': 3, 'DEFAULT': 0, 'V': 3, 'R': 4, 'A': 1}, (0.9334466744070327, 0.6341604992018575, 0.6351890510528436))
({'N': 4, 'DEFAULT': 0, 'V': 3, 'R': 4, 'A': 1}, (0.9333637419140819, 0.6341604992018575, 0.6351890510528436))
({'N': 4, 'DEFAULT': 0, 'V': 4, 'R': 4, 'A': 1}, (0.9333222756676066, 0.6341604992018575, 0.6351890510528436))
({'DEFAULT': 0, 'V': 5, 'A': 1, 'R': 4, 'N': 4}, (0.9333637419140819, 0.6341604992018575, 0.6351890510528436))
({'DEFAULT': 0, 'V': 4, 'A': 1, 'R': 4, 'N': 5}, (0.9333222756676066, 0.6341604992018575, 0.6351890510528436))
