({'DEFAULT': 4, 'V': 1, 'N': 1, 'A+R': 4}, (0.8974539724664123, 0.6415614569728632, 0.6425701563092057))
({'DEFAULT': 4, 'V': 2, 'N': 1, 'A+R': 4}, (0.8975369049593631, 0.6411261065157452, 0.642132981226834))
({'DEFAULT': 4, 'N': 2, 'V': 1, 'A+R': 2}, (0.8972881074805109, 0.6409809896967058, 0.642005013973116))
({'DEFAULT': 3, 'N': 2, 'V': 4, 'A+R': 2}, (0.8971637087410848, 0.6408358728776665, 0.6418767544853449))
({'DEFAULT': 1, 'V': 2, 'N': 1, 'A+R': 3}, (0.8972051749875601, 0.6406907560586272, 0.6417795596852077))
({'DEFAULT': 2, 'V': 1, 'N': 1, 'A+R': 3}, (0.8974539724664123, 0.6406907560586272, 0.641728359732083))
({'DEFAULT': 2, 'V': 1, 'N': 1, 'A+R': 4}, (0.8973295737269862, 0.6406907560586272, 0.6417184063229991))
({'DEFAULT': 3, 'V': 2, 'N': 1, 'A+R': 2}, (0.8975783712058385, 0.6406907560586272, 0.6417150643381219))
({'DEFAULT': 3, 'V': 2, 'N': 1, 'A+R': 4}, (0.8975369049593631, 0.6406907560586272, 0.6417222221105942))
({'DEFAULT': 4, 'V': 3, 'N': 1, 'A+R': 4}, (0.8973295737269862, 0.6406907560586272, 0.6417054449536171))
({'DEFAULT': 4, 'V': 4, 'N': 1, 'A+R': 4}, (0.8974954387128877, 0.6406907560586272, 0.6417101800537585))
({'DEFAULT': 3, 'N': 2, 'V': 2, 'A+R': 4}, (0.8975369049593631, 0.6406907560586272, 0.6417014657064545))
({'DEFAULT': 2, 'V': 2, 'N': 1, 'A+R': 2}, (0.8972466412340355, 0.6405456392395878, 0.64158656515934))
({'DEFAULT': 2, 'V': 2, 'N': 1, 'A+R': 4}, (0.8971637087410848, 0.6405456392395878, 0.6415828761047737))
({'DEFAULT': 2, 'V': 3, 'N': 1, 'A+R': 4}, (0.8970393100016586, 0.6405456392395878, 0.6416153247543607))
({'DEFAULT': 3, 'V': 1, 'N': 1, 'A+R': 2}, (0.8973295737269862, 0.6405456392395878, 0.6415588006878263))
({'DEFAULT': 4, 'V': 1, 'N': 1, 'A+R': 3}, (0.897412506219937, 0.6405456392395878, 0.6415578375679306))
({'DEFAULT': 4, 'V': 2, 'N': 1, 'A+R': 3}, (0.8975369049593631, 0.6405456392395878, 0.6415940538673152))
({'DEFAULT': 4, 'N': 2, 'V': 1, 'A+R': 1}, (0.8973710399734616, 0.6405456392395878, 0.641583727023524))
({'DEFAULT': 4, 'N': 2, 'V': 3, 'A+R': 3}, (0.897412506219937, 0.6405456392395878, 0.641598986561939))
