({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.7780993278566094, 0.6618475863758883, 0.6255964337139005))
({'V': 2, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.7781226661687827, 0.6617659070489259, 0.6255093869621775))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.7783093726661687, 0.6617659070489259, 0.6255539181535428))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.7782160194174758, 0.6617659070489259, 0.6253957877690385))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 3, 'DEFAULT': 0}, (0.7781226661687827, 0.6616025483950012, 0.6252879005512021))
({'V': 2, 'A': 4, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.7780526512322629, 0.6615208690680389, 0.6253218581106889))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 2, 'DEFAULT': 0}, (0.7780526512322629, 0.6614391897410765, 0.6251474872233934))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'E': 2, 'DEFAULT': 0}, (0.7782160194174758, 0.6613575104141142, 0.6253086969338376))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'E': 1, 'DEFAULT': 0}, (0.7780993278566094, 0.6611941517601895, 0.6248227920341936))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.7780526512322629, 0.6611124724332271, 0.6248998103919262))
({'V': 3, 'A': 4, 'N': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.7781693427931292, 0.6611124724332271, 0.6247955842913865))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 4, 'DEFAULT': 0}, (0.7779592979835698, 0.6610307931062648, 0.6245642694308092))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 3, 'DEFAULT': 0}, (0.7780059746079163, 0.6609491137793024, 0.6245930437731635))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.7781693427931292, 0.6609491137793024, 0.6247126999734298))
({'V': 3, 'A': 4, 'N': 1, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.7780993278566094, 0.6609491137793024, 0.6247175687061063))
({'V': 3, 'A': 4, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.7781226661687827, 0.6609491137793024, 0.6247368861883263))
({'V': 2, 'A': 3, 'N': 1, 'R': 4, 'E': 1, 'DEFAULT': 0}, (0.7778426064227035, 0.6608674344523401, 0.6246535509605494))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'E': 2, 'DEFAULT': 0}, (0.7780993278566094, 0.6608674344523401, 0.6246044276653069))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.7781693427931292, 0.6608674344523401, 0.6245846864979508))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.7782160194174758, 0.6608674344523401, 0.6246862153015768))
